のぞみ201,down,◆,休日運休
のぞみ277,down,◆,10月8・9・15・16・23・30日運転
のぞみ279,down,◆,10月9・16・23・30日運転
こだま703,down,☆,N700S車両で運転
のぞみ283,down,◆,10月8・9・15・16・22・23・30日運転
のぞみ205,down,◆,休日運休
ひかり633,down,☆,N700S車両で運転
のぞみ207,down,☆,N700S車両で運転
のぞみ295,down,◆,10月8・9・15・16・22・23・29・30日運転
のぞみ209,down,◆,休日運休・但し、10月24・31日は運転
のぞみ297,down,◆,10月9・16・22日運転
のぞみ211,down,◆,休日運休
のぞみ213,down,☆,N700S車両で運転
のぞみ305,down,◆,10月9・16・29日運転
のぞみ215,down,◆,休日運休
のぞみ311,down,◆,10月1・8・9・15・16・22・23・29・30日運転
のぞみ319,down,◆,10月23・30日運転
のぞみ221,down,◆,休日運休
のぞみ223,down,◆,10月9・16・22・23・29・30日運転
のぞみ331,down,◆,10月1・8・9・15・16・22・23・29・30日運転
のぞみ335,down,◆,10月23・30日運転
のぞみ343,down,◆,10月9・16日運転
のぞみ347,down,◆,10月9・16・22・23・29・30日運転
のぞみ355,down,◆,10月8・15日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,10月8・15・22・23・29・30日運転
のぞみ367,down,◆,10月16日運転
こだま733,down,☆,N700S車両で運転
のぞみ387,down,◆,10月1・3・8～10・15～17・22～24・29～31日運転
のぞみ397,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ401,down,◆,10月22・24・29・31日運転
のぞみ409,down,◆,10月24・29・31日運転
のぞみ239,down,◆,土曜運休
のぞみ415,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ421,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ245,down,◆,土曜運休
こだま801,down,◆,10月3・10・17・24・31日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ425,down,◆,10月1・8・15・22・24・29・31日運転
のぞみ429,down,◆,10月8・15・22・24・29・31日運転
のぞみ431,down,◆,10月1・8・15・22・24・29・31日運転
のぞみ249,down,◆,土曜運休
のぞみ435,down,◆,10月1・8・15・22・29日運転
のぞみ439,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ441,down,◆,10月8・15・29日運転
のぞみ253,down,☆,N700S車両で運転
のぞみ443,down,◆,10月1・8・15・22・24・29・31日運転
のぞみ447,down,◆,10月8・15・22・29日運転
こだま805,down,◆,休日運休
のぞみ451,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
