期間,20220312,20220331
のぞみ121,down,◆,3月19・20・26日運転
のぞみ271,down,◆,3月18・22～25・28～30日運転
のぞみ273,down,◆,3月12・18・19・22～30日運転
のぞみ123,down,◆,3月19日運転
のぞみ275,down,◆,3月12・18・20・22～31日運転
のぞみ201,down,◆,休日運休・但し、3月13・20・21・27日は運転
のぞみ277,down,◆,3月12・18～20・22～31日運転
のぞみ279,down,◆,3月12・19・20・26・27日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,3月19日運転
のぞみ281,down,◆,3月26日運転
のぞみ283,down,◆,3月12・18～20・22～31日運転
のぞみ127,down,◆,3月12・18～20・25～27日運転
のぞみ205,down,◆,休日と3月12・18～20・25～27日は運休
のぞみ285,down,◆,3月18・19・22～26・28～30日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,3月12・18～20・22～30日運転
のぞみ289,down,◆,3月19・25・26日運転
のぞみ291,down,◆,3月19日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,3月19・21日運転
のぞみ293,down,◆,3月26日運転
のぞみ295,down,◆,3月12・18～20・22～31日運転
のぞみ131,down,◆,3月19・25・26日運転
のぞみ209,down,◆,休日と3月19・25・26日は運休・但し、3月13・20・27日は運転
のぞみ297,down,◆,3月12・18・19・22～26・28～30日運転
のぞみ211,down,◆,休日運休・但し、3月20・27日は運転
のぞみ133,down,◆,3月19・21・26日運転
のぞみ299,down,◆,3月25日運転
のぞみ301,down,◆,3月12・18・19・22～26・28～31日運転
のぞみ303,down,◆,3月19日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,3月19日運転
のぞみ307,down,◆,3月12・18～20・22～31日運転
のぞみ137,down,◆,3月19日運転
のぞみ215,down,◆,休日と3月19日は運休・但し、3月20・27日は運転
のぞみ309,down,◆,3月12・18・19・25・26・28～30日運転
のぞみ139,down,◆,3月19・21・26日運転
のぞみ311,down,◆,3月25日運転
のぞみ313,down,◆,3月12・18・19・22～26・28～31日運転
のぞみ315,down,◆,3月19・26日運転
のぞみ141,down,◆,3月19・21日運転
のぞみ319,down,◆,3月18・19・22～31日運転
のぞみ143,down,◆,3月19日運転
のぞみ221,down,◆,休日と3月19日は運休・但し、3月13・20・21・27日は運転
のぞみ321,down,◆,3月12・18・19・25・26・28～30日運転
のぞみ323,down,◆,3月19日運転
のぞみ223,down,◆,3月12・18・20・22～31日運転
のぞみ145,down,◆,3月19・21日運転
のぞみ325,down,◆,3月19・26日運転
のぞみ327,down,◆,3月19・26日運転
のぞみ147,down,◆,3月19・21日運転
のぞみ331,down,◆,3月12・13・18～20・22～31日運転
のぞみ149,down,◆,3月19日運転
のぞみ335,down,◆,3月18・19・25～30日運転
のぞみ337,down,◆,3月12・18・19・22～31日運転
のぞみ151,down,◆,3月19・21日運転
のぞみ343,down,◆,3月19・26日運転
のぞみ347,down,◆,3月12・13・18～31日運転
のぞみ155,down,◆,3月19日運転
のぞみ351,down,◆,3月26日運転
のぞみ353,down,◆,3月19日運転
のぞみ157,down,◆,3月19・21日運転
のぞみ355,down,◆,3月18・25～31日運転
のぞみ357,down,◆,3月19日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,3月12・13・18～20・22～31日運転
のぞみ161,down,◆,3月21日運転
のぞみ367,down,◆,3月19・25日運転
のぞみ163,down,◆,3月21・27日運転
のぞみ371,down,◆,3月13・18・19・25・26・31日運転
のぞみ373,down,◆,3月21・27日運転
のぞみ165,down,◆,3月21日運転
のぞみ379,down,◆,3月12・13・18～31日運転
のぞみ381,down,◆,3月21・25日運転
のぞみ383,down,◆,3月13・19・27日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,3月21日運転
のぞみ169,down,◆,3月18・21・27日運転
のぞみ387,down,◆,3月13・19・25・26・28～31日運転
のぞみ389,down,◆,3月18・21・25・27日運転
のぞみ395,down,◆,3月13・18・21・25・27日運転
のぞみ173,down,◆,3月13・21・25・27日運転
のぞみ397,down,◆,3月18～20・22～24・26・28～31日運転
のぞみ399,down,◆,3月13・21・27・31日運転
のぞみ175,down,◆,3月18・21日運転
のぞみ401,down,◆,3月25日運転
のぞみ403,down,◆,3月13・18・19・21・25・27～31日運転
のぞみ405,down,◆,3月21日運転
のぞみ177,down,◆,3月21日運転
のぞみ409,down,◆,3月18・25日運転
のぞみ179,down,◆,3月13・18・21・25・27日運転
のぞみ239,down,◆,土曜と3月13・18・21・25・27日は運休・但し、3月19・26日は運転
のぞみ411,down,◆,3月13・18・21・25・27～31日運転
のぞみ181,down,◆,3月18・21・27日運転
のぞみ413,down,◆,3月25日運転
のぞみ415,down,◆,3月13・18・19・21～25・28～31日運転
のぞみ417,down,◆,3月13・18・20・21・25・27日運転
のぞみ419,down,◆,3月18・25日運転
のぞみ421,down,◆,3月13・18・20・21・25・27日運転
のぞみ185,down,◆,3月13・18・20・21・25日運転
のぞみ245,down,◆,土曜と3月13・18・20・21・25日は運休・但し、3月19・26日は運転
のぞみ423,down,◆,3月18・21～25・28～31日運転
こだま801,down,◆,3月13・20・21・27日運転
のぞみ247,down,☆,N700S車両で運転
