期間,20220101,20220131
のぞみ121,down,◆,1月3・4日運転
のぞみ275,down,◆,1月14・[15]・21・[22]・28・[29]日運転
のぞみ123,down,◆,1月2～4日運転
のぞみ201,down,◆,休日運休・但し、1月1・9日は運転
のぞみ277,down,◆,1月8・[11]・15・[16]・[17]・22・[23]・[24]・29・[30]・[31]日運転
のぞみ279,down,◆,1月1・8日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,1月2～4・[15]・[22]・[29]日運転
のぞみ283,down,◆,1月[7]・8・[12]・[13]・14・[18]・[19]・[20]・21・[25]・[26]・[27]・28日運転
のぞみ205,down,◆,休日と1月2～4・8日は運休・但し、1月1日は運転
のぞみ127,down,◆,1月2～4・8日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,1月[11]日運転
のぞみ289,down,◆,1月[14]・[21]・[28]日運転
のぞみ291,down,◆,1月[8]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ295,down,◆,1月1・[7]・8・[12]・[13]・14・[15]・[18]・[19]・[20]・21・[22]・[25]・[26]・[27]・28・[29]日運転
のぞみ209,down,◆,休日と1月8日は運休・但し、1月1～3・9・[16]・[23]・[30]日は運転
のぞみ131,down,◆,1月8日運転
のぞみ297,down,◆,1月[8]日運転
のぞみ211,down,◆,休日運休・但し、1月1～3日は運転
のぞみ133,down,◆,1月2～5日運転
のぞみ301,down,◆,1月8・[14]・[17]・[21]・[24]・[28]・[31]日運転
のぞみ303,down,◆,1月[8]日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ305,down,◆,1月[7]・[8]日運転
のぞみ135,down,◆,1月2～4日運転
のぞみ307,down,◆,1月[1]・8・[12]・[13]・14・15・[18]・[19]・[20]・21・22・[25]・[26]・[27]・28・29日運転
のぞみ215,down,◆,休日と1月2～4・8日は運休・但し、1月1日は運転
のぞみ137,down,◆,1月2・3・4・8日運転
のぞみ311,down,◆,1月[8]日運転
のぞみ139,down,◆,1月1～5日運転
のぞみ313,down,◆,1月8・[14]・[15]・[21]・[22]・[28]・[29]日運転
のぞみ315,down,◆,1月[1]日運転
のぞみ319,down,◆,1月2～4・8・14・15・21・22・28・29日運転
のぞみ221,down,◆,休日と1月2～4日は運休・但し、1月1・9・[16]・[23]・[30]日は運転
のぞみ143,down,◆,1月2・3・4日運転
のぞみ321,down,◆,1月2・8日運転
のぞみ323,down,◆,1月[1]日運転
のぞみ223,down,◆,1月7・8・[12]・[13]・[19]・[20]・[26]・[27]日運転
のぞみ145,down,◆,1月1～5日運転
のぞみ325,down,◆,1月[1]日運転
のぞみ327,down,◆,1月1・[8]日運転
のぞみ147,down,◆,1月2・3・4日運転
のぞみ331,down,◆,1月1・4～10・14・15・[16]・21・22・[23]・28・29・[30]日運転
のぞみ335,down,◆,1月1・8日運転
のぞみ337,down,◆,1月[1]・7・8日運転
のぞみ339,down,◆,1月[15]・[22]・[29]日運転
のぞみ151,down,◆,1月1～5日運転
のぞみ343,down,◆,1月1～3・8日運転
のぞみ153,down,◆,1月3・4日運転
のぞみ347,down,◆,1月1・6～10・14・15・21・22・28・29日運転
のぞみ155,down,◆,1月2～5日運転
のぞみ351,down,◆,1月1・2日運転
のぞみ353,down,◆,1月[1]日運転
のぞみ355,down,◆,1月8日運転
のぞみ157,down,◆,1月1～5日運転
のぞみ357,down,◆,1月1・3日運転
こだま727,down,☆,N700S車両で運転
のぞみ361,down,◆,1月[1]日運転
のぞみ159,down,◆,1月3・4日運転
のぞみ363,down,◆,1月1・6～10・14・16・21・23・28・30日運転
のぞみ161,down,◆,1月2～5日運転
のぞみ367,down,◆,1月1日運転
のぞみ369,down,◆,1月3日運転
のぞみ371,down,◆,1月1・8・10日運転
のぞみ163,down,◆,1月2～5日運転
のぞみ373,down,◆,1月1・3日運転
のぞみ375,down,◆,1月2日運転
のぞみ165,down,◆,1月2～4日運転
のぞみ379,down,◆,1月3・4・[5]・16・23・30日運転
のぞみ381,down,◆,1月1・3・6～9・14・21・28日運転
のぞみ167,down,◆,1月5・10日運転
のぞみ383,down,◆,1月1日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,1月3日運転
のぞみ387,down,◆,1月1・8・10・14・16・21・23・28・30日運転
のぞみ169,down,◆,1月2～5日運転
のぞみ389,down,◆,1月2・3・10日運転
のぞみ171,down,◆,1月[14]・[16]・[21]・[23]・[28]・[30]日運転
のぞみ395,down,◆,1月3・4日運転
のぞみ397,down,◆,1月1・7・8・14・16・21・23・28・30日運転
のぞみ173,down,◆,1月2～5・10日運転
のぞみ401,down,◆,1月[5]日運転
のぞみ175,down,◆,1月2～4日運転
のぞみ403,down,◆,1月2・3・10・14・16・21・23・28・30日運転
のぞみ405,down,◆,1月3・[10]日運転
のぞみ177,down,◆,1月2～4・[14]・[16]・[21]・[23]・[28]・[30]日運転
のぞみ409,down,◆,1月[12]・[13]・14・16・[19]・[20]・21・23・[26]・[27]・28・30日運転
のぞみ239,down,◆,土曜と1月5・10日は運休
のぞみ179,down,◆,1月5・10日運転
のぞみ411,down,◆,1月10日運転
のぞみ413,down,◆,1月[5]日運転
のぞみ181,down,◆,1月2～4日運転
のぞみ415,down,◆,1月14・21・28日運転
のぞみ417,down,◆,1月3・7・10日運転
のぞみ421,down,◆,1月7・10・14・16・21・23・28・30日運転
のぞみ245,down,◆,土曜運休
のぞみ423,down,◆,1月14・21・28日運転
こだま801,down,◆,1月1～3・9・10・16・23・30日運転
