期間,20230401,20230507
回送983,down,◆,4月7・16・25日運転
回送981,down,◆,4月3日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,4月1・3・8・10・15・17・22・24・29日・5月1・3・4日運転
のぞみ101,down,◆,4月[29]日・5月3・5～7日運転
のぞみ283,down,◆,5月3・4日運転
ひかり535,down,◆,4月1～30日、5月1～7日は運休
ひかり535,down,◆,4月1～30日・5月1～7日運転
のぞみ103,down,◆,4月[1]・[8]・15・[22]・29日・5月3・[4]・5～7日運転
のぞみ285,down,◆,4月[4]・[6]・[7]・[21]日運転
のぞみ201,down,◆,休日と4月21・29日、5月3～7日は運休・但し、4月30日は運転
のぞみ105,down,◆,4月21・29日・5月3～7日運転
のぞみ287,down,◆,4月[1]日・5月3日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,4月1・29日・5月3日運転
のぞみ203,down,◆,4月29日、5月3～7日は運休
のぞみ107,down,◆,4月29日・5月3～7日運転
ひかり671,down,◆,4月1～30日、5月1～7日は運休
ひかり501,down,◆,4月1～30日・5月1～7日運転
のぞみ291,down,◆,4月1・3・4・[5]・6～8・10～15・17～22・24・27・29日・5月[1]・3～5日運転
のぞみ293,down,◆,4月1・[6]・[7]・8・[14]・15・[22]・29日・5月3・4日運転
のぞみ205,down,◆,休日と4月1・2・8・14・15・22・29・30日、5月2～7日は運休
のぞみ109,down,◆,4月1・2・8・14・15・22・29・30日・5月2～7日運転
のぞみ295,down,◆,4月[1]・[21]・[29]日・5月3日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,4月29日、5月3・5～7日は運休
のぞみ111,down,◆,4月29日・5月3・5～7日運転
のぞみ113,down,◆,4月1・[29]日・5月3・[4]日運転
のぞみ299,down,◆,4月[1]・[8]・[15]・29日・5月3・4日運転
のぞみ301,down,◆,4月[1]日・5月3日運転
のぞみ303,down,◆,4月1・3～8・10～13・[14]・15・17～22・24～27・[28]・29・30日・5月[1]・3～5日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,4月1・[7]・8・[10]・14・15・[17]・[22]・[24]・29日・5月3・4日運転
のぞみ209,down,◆,休日と4月1・29・30日、5月2～7日は運休・但し、4月2・9・[16]・[23]日は運転
のぞみ115,down,◆,4月1・29・30日・5月2～7日運転
のぞみ307,down,◆,4月1・[8]・[15]・[29]日・5月3・[4]日運転
のぞみ211,down,◆,休日と4月29日、5月3・5～7日は運休・但し、4月2・9・[30]日・5月4日は運転
のぞみ117,down,◆,5月6・7日運転
のぞみ117,down,◆,4月29日・5月3・5日運転
のぞみ309,down,◆,4月[1]・[8]・[15]・[29]日運転
のぞみ119,down,◆,5月[2]・3・[4]・6・7日運転
のぞみ311,down,◆,4月1・[6]・7・8・15・[19]・[20]・[21]・22・29日・5月3・4日運転
のぞみ313,down,◆,4月[1]・2・9・16・23・30日・5月3・5～7日運転
のぞみ213,down,◆,4月1・29・30日、5月3～7日は運休
のぞみ121,down,◆,4月1・29・30日・5月3～7日運転
のぞみ315,down,◆,4月1・[2]・3～8・[9]・[10]・11～15・[17]・18～22・[24]・[25]・[26]・27・[28]・29・30日・5月1・3～5日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,4月1・7・8・10～13・15・17・[18]・19・20・22・24～27・[29]日・5月3・4日運転
のぞみ215,down,◆,休日と4月29日、5月3～5日は運休・但し、4月2・9・[16]・[30]日・5月7日は運転
のぞみ123,down,◆,4月29日・5月4・5日運転
のぞみ123,down,◆,5月3日運転
のぞみ319,down,◆,4月1・[8]・29日・5月3・[4]日運転
のぞみ217,down,◆,5月3・5～7日は運休
のぞみ125,down,◆,5月3日運転
のぞみ125,down,◆,5月5～7日運転
のぞみ321,down,◆,4月[1]・[8]・[15]・[29]日運転
のぞみ127,down,◆,5月2・3・[4]日運転
のぞみ323,down,◆,4月[1]日・5月3日運転
のぞみ325,down,◆,4月1・[6]・8・[14]・[15]・[21]・[22]・29日・5月3・4日運転
のぞみ219,down,◆,4月29日、5月3～7日は運休
のぞみ129,down,◆,5月5～7日運転
のぞみ129,down,◆,4月29日・5月3・4日運転
のぞみ327,down,◆,4月1・[4]・5・[6]・7・8・13・[14]・15・18～20・[21]・22・26・[28]・29・[30]日・5月[1]・2～4日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,4月[1]・[8]・29日・5月3・[4]日運転
のぞみ221,down,◆,休日と4月29日、5月2・3日は運休・但し、4月2・9・[16]・[23]・30日・5月4・5・[7]日は運転
のぞみ131,down,◆,4月29日・5月2日運転
のぞみ131,down,◆,5月3日運転
のぞみ331,down,◆,5月3日運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,4月1～8・11・12・14・15・[17]・21・22・25・27～30日・5月1・2・4・5日運転
のぞみ133,down,◆,5月3日運転
のぞみ133,down,◆,5月6・7日運転
のぞみ333,down,◆,4月[29]日・5月[4]日運転
のぞみ135,down,◆,5月3日運転
のぞみ335,down,◆,5月3日運転
のぞみ337,down,◆,4月1・8・[15]・[22]・29日・5月3・4日運転
のぞみ225,down,◆,4月29日、5月3～7日は運休
のぞみ137,down,◆,4月29日・5月3～7日運転
のぞみ339,down,◆,4月1・8・[14]・[15]・[21]・[22]・29日・5月3・[4]・[7]日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,4月1～4・[5]・[6]・7・8・14・15・21・22・29日・5月[1]・3・4・[5]・[6]・7日運転
のぞみ343,down,◆,4月[28]日運転
のぞみ139,down,◆,5月2・3日運転
のぞみ139,down,◆,4月[29]・[30]日運転
のぞみ345,down,◆,5月3日運転
のぞみ347,down,◆,4月1～9・11～13・15・[16]・18～20・22・[23]・25・[26]・28～30日・5月1・2・4～7日運転
のぞみ141,down,◆,5月3日運転
のぞみ349,down,◆,5月3日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ351,down,◆,5月3日運転
のぞみ353,down,◆,4月[1]・[8]・29日・5月3・[4]日運転
のぞみ227,down,◆,5月3日は運休
のぞみ145,down,◆,5月3日運転
のぞみ355,down,◆,4月[1]・22・29日・5月3・6・7日運転
のぞみ357,down,◆,5月3日運転
のぞみ359,down,◆,4月[28]日運転
のぞみ147,down,◆,5月3日運転
のぞみ147,down,◆,4月[2]・[29]・[30]日・5月[5]・[6]・[7]日運転
のぞみ361,down,◆,4月1・7・8・[15]・29日・5月2・3・[4]・7日運転
こだま725,down,☆,N700S車両で運転
のぞみ363,down,◆,4月1～9・14・15・[16]・[20]・21・22・[23]・28～30日・5月1・2・4・5日運転
のぞみ149,down,◆,5月[3]・6・7日運転
のぞみ365,down,◆,5月3日運転
のぞみ367,down,◆,5月3日運転
のぞみ369,down,◆,5月3日運転
のぞみ229,down,◆,4月2・23日、5月3・5～7日は運休
のぞみ153,down,◆,4月2・23日・5月3・5～7日運転
のぞみ371,down,◆,4月[2]・29・30日・5月[2]・3・[6]・7日運転
のぞみ35,down,☆,N700S車両で運転
のぞみ373,down,◆,5月3・[7]日運転
のぞみ375,down,◆,4月1・2・4～9・14～16・[20]・21～23・28日・5月1・2・4・5日運転
のぞみ155,down,◆,4月[29]・[30]日・5月3・6・7日運転
のぞみ377,down,◆,5月3日運転
こだま729,down,☆,N700S車両で運転
のぞみ379,down,◆,4月[1]・2・3・7・[9]・[16]・[23]・28・29日・5月2・3・[4]・[5]・6・7日運転
のぞみ381,down,◆,5月3日運転
のぞみ73,down,☆,N700S車両で運転
のぞみ383,down,◆,5月3日運転
のぞみ385,down,◆,5月3・7日運転
のぞみ231,down,◆,4月2・30日、5月2・3・5～7日は運休
のぞみ161,down,◆,4月2・30日・5月2・3・5～7日運転
のぞみ387,down,◆,4月2・9・16・23・28・[30]日・5月2・3・6・7日運転
のぞみ389,down,◆,4月6日・5月3・7日運転
のぞみ391,down,◆,4月1・3～5・7・8・14・15・[19]・[20]・21・22・[25]・28～30日・5月1・2・4日運転
のぞみ163,down,◆,4月[2]日・5月[5]・6・7日運転
のぞみ163,down,◆,4月[9]・[16]・[23]日・5月3日運転
のぞみ393,down,◆,5月3・[7]日運転
のぞみ395,down,◆,4月[4]・7・9・[14]・21・23・28・[29]・[30]日・5月2・3・[4]・5～7日運転
のぞみ165,down,◆,4月[2]・16日運転
のぞみ397,down,◆,5月3日運転
のぞみ167,down,◆,5月[5]・[6]・[7]日運転
のぞみ399,down,◆,5月[3]日運転
のぞみ401,down,◆,4月2日・5月3・7日運転
のぞみ233,down,◆,4月9・23・30日、5月2・5～7日は運休
のぞみ169,down,◆,4月9・23・30日・5月2・5～7日運転
のぞみ403,down,◆,4月2・7・9・14・16・21・23・28・[30]日・5月2・3・5～7日運転
のぞみ405,down,◆,4月2・9・16・23・28・[30]日・5月3・[5]・[6]・7日運転
のぞみ407,down,◆,4月3～6・[20]・30日運転
のぞみ171,down,◆,4月2日・5月[2]・5～7日運転
のぞみ171,down,◆,4月[7]・[9]・[14]・[16]・[21]・[23]・[28]日・5月[3]・[4]日運転
のぞみ409,down,◆,4月[2]日・5月2・3・7日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ235,down,◆,4月2日は運休
のぞみ173,down,◆,4月2日運転
のぞみ411,down,◆,5月3・[7]日運転
のぞみ175,down,◆,5月[2]日運転
のぞみ413,down,◆,5月3・[7]日運転
のぞみ415,down,◆,5月3日運転
のぞみ237,down,◆,4月9・16・21・23・28・30日、5月2～7日は運休
のぞみ177,down,◆,4月9・16・21・23・28・30日・5月2～7日運転
のぞみ417,down,◆,4月2・7・[9]・[14]・[16]・[21]・[23]・28・[30]日・5月2・3・5・[6]・7日運転
のぞみ47,down,☆,N700S車両で運転
のぞみ419,down,◆,4月[2]・[7]・[28]日・5月2・[3]・[5]・7日運転
のぞみ239,down,◆,土曜と4月2・7・9・14・16・23・28・30日、5月2・5～7日は運休
のぞみ179,down,◆,4月2・16・23・28日・5月2・5～7日運転
のぞみ179,down,◆,4月7・9・14・30日運転
のぞみ421,down,◆,5月[3]・[7]日運転
ひかり651,down,☆,N700S車両で運転
のぞみ241,down,◆,4月2日は運休
のぞみ181,down,◆,4月2日運転
のぞみ423,down,◆,5月3・[7]日運転
のぞみ183,down,◆,5月2日運転
のぞみ425,down,◆,4月2・3・[4]・5・6・[7]・9・14・16・[20]・21・23・28・30日・5月2・3・5～7日運転
のぞみ243,down,◆,4月28日、5月2・5～7日は運休
のぞみ185,down,◆,4月28日・5月2・5～7日運転
のぞみ429,down,◆,4月2～7・9・[13]・14・16・[20]・21・23・[26]・27・28・30日・5月2・[3]・4～7日運転
のぞみ431,down,◆,4月[2]・7・[14]・28日・5月2・[5]・7日運転
のぞみ245,down,◆,土曜と4月2・7・9・14・16・21・23・28・30日、5月2・5～7日は運休
のぞみ187,down,◆,4月2日運転
のぞみ187,down,◆,4月7・9・14・16・21・23・28・30日・5月2・5～7日運転
のぞみ433,down,◆,4月[7]・[14]・[21]・[28]日・5月[7]日運転
のぞみ55,down,☆,N700S車両で運転
こだま801,down,◆,4月2・9・16・23・30日・5月3～5・7日運転
のぞみ435,down,◆,4月[28]日・5月3・[7]日運転
のぞみ191,down,◆,5月[2]日運転
