期間,20220201,20220228
のぞみ121,down,◆,2月11日運転
のぞみ273,down,◆,2月19・26日運転
のぞみ275,down,◆,2月4・10・11・17・18・22・24・25日運転
のぞみ201,down,◆,休日運休・但し、2月13・20・23・27日は運転
のぞみ277,down,◆,2月5・11・19・24・26日運転
のぞみ279,down,◆,2月11・19・26日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,2月11日運転
のぞみ283,down,◆,2月4・10・17～19・22・24～26日運転
のぞみ205,down,◆,休日と2月11・19・26日は運休
のぞみ127,down,◆,2月11・19・26日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,2月11・19・24・26日運転
のぞみ289,down,◆,2月11日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,2月11日運転
のぞみ295,down,◆,2月4・10・11・13・17～20・22・24～27日運転
のぞみ209,down,◆,休日と2月11日は運休・但し、2月23日は運転
のぞみ131,down,◆,2月11日運転
のぞみ297,down,◆,2月11・19・26日運転
のぞみ211,down,◆,休日運休・但し、2月11日は運転
のぞみ133,down,◆,2月11・24日運転
のぞみ301,down,◆,2月10・11・19・25・26日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ305,down,◆,2月11日運転
のぞみ307,down,◆,2月4・5・10・11・17～19・22・24～26日運転
のぞみ215,down,◆,休日と2月11日は運休
のぞみ137,down,◆,2月11日運転
のぞみ309,down,◆,2月11・19・26日運転
のぞみ139,down,◆,2月11日運転
のぞみ313,down,◆,2月10・11・19・24～26日運転
のぞみ315,down,◆,2月11日運転
のぞみ319,down,◆,2月4・5・10・11・13・17～20・22・24～27日運転
のぞみ221,down,◆,休日と2月11日は運休・但し、2月23日は運転
のぞみ143,down,◆,2月11日運転
のぞみ321,down,◆,2月11日運転
のぞみ323,down,◆,2月10・11・19・25・26日運転
のぞみ223,down,◆,2月11・24日運転
のぞみ325,down,◆,2月11日運転
のぞみ327,down,◆,2月11日運転
のぞみ331,down,◆,2月4・5・10・11・17～20・22～27日運転
のぞみ149,down,◆,2月11日運転
のぞみ335,down,◆,2月11日運転
のぞみ337,down,◆,2月10・11・19・24～26日運転
のぞみ339,down,◆,2月13日運転
のぞみ343,down,◆,2月11日運転
のぞみ347,down,◆,2月4・5・10・11・18～20・24～27日運転
のぞみ351,down,◆,2月11日運転
のぞみ355,down,◆,2月11日運転
のぞみ157,down,◆,2月13日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,2月4・6・10・11・13・18～20・24～27日運転
のぞみ371,down,◆,2月11日運転
のぞみ163,down,◆,2月13日運転
のぞみ373,down,◆,2月13日運転
のぞみ379,down,◆,2月6・10・11・13・19・20・25～27日運転
のぞみ381,down,◆,2月4・12・13・18・23・24日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,2月13日運転
のぞみ387,down,◆,2月4・6・10・18・20・25・27日運転
のぞみ169,down,◆,2月13日運転
のぞみ389,down,◆,2月13日運転
のぞみ395,down,◆,2月10・13・20・25・27日運転
のぞみ397,down,◆,2月4・6・18・23日運転
のぞみ173,down,◆,2月10・13・20・25・27日運転
のぞみ175,down,◆,2月13日運転
のぞみ403,down,◆,2月4・6・10・13・18・20・25・27日運転
のぞみ405,down,◆,2月13日運転
のぞみ409,down,◆,2月4・6・10・13・18・20・25・27日運転
のぞみ239,down,◆,土曜と2月10・13・18・20・25・27日は運休
のぞみ179,down,◆,2月10・13・18・20・25・27日運転
のぞみ411,down,◆,2月13・18日運転
のぞみ413,down,◆,2月20・27日運転
のぞみ181,down,◆,2月10・13・25日運転
のぞみ415,down,◆,2月4・10・13・17・18・20・22・24・25・27日運転
のぞみ417,down,◆,2月10・25日運転
のぞみ419,down,◆,2月10・25日運転
のぞみ421,down,◆,2月4・6・10・13・18・20・22・25・27日運転
のぞみ245,down,◆,土曜と2月10・13・18・20・25・27日は運休
のぞみ185,down,◆,2月10・13・18・20・25・27日運転
のぞみ423,down,◆,2月4・10・17・18・24・25日運転
こだま801,down,◆,2月6・11・13・20・23・27日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ425,down,◆,2月18・22日運転
のぞみ187,down,◆,2月10・13・25日運転
のぞみ427,down,◆,2月4・10・13・17・18・20・24・25・27日運転
のぞみ429,down,◆,2月4・10・13・18・20・25・27日運転
のぞみ431,down,◆,2月4・17・18・20・22・24・27日運転
のぞみ189,down,◆,2月10・13・25日運転
のぞみ433,down,◆,2月10・18・25日運転
のぞみ249,down,◆,土曜運休
のぞみ435,down,◆,2月4・10・13・18・22・25日運転
のぞみ437,down,◆,2月4・10・18・25日運転
のぞみ439,down,◆,2月4・6・10・13・17・18・20・22・24・25・27日運転
のぞみ441,down,◆,2月4・10・13・18・25日運転
のぞみ253,down,☆,N700S車両で運転
