期間,20231120,20240229
回送981,down,◆,12月1日運転
回送983,down,◆,11月23日・12月5・14・25日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,11月20・23・25・27日・12月2・4・9・11・16・18・23・25・28～30日・1月4・9・13・15・20・22・27・29日・2月3・5・10・13・17・19・23・26日運転
のぞみ101,down,◆,11月23・25・26日・12月29～31日・1月2～5日・2月10・23日運転
のぞみ283,down,◆,11月20～25・27日・12月1・2・9・25・26・29・30日・2月9・10・16・22・23日運転
ひかり535,down,◆,11月20日～2月29日は運休
ひかり535,down,◆,11月20日～2月29日運転
のぞみ285,down,◆,11月27～12月1・6～9・12～16・21・25～27日・1月18～20・23～27日・2月7～9・12・14～17・19～22・24・26・28・29日運転
のぞみ103,down,◆,11月20～26日・12月2・23・28～31日・1月6・8日・2月10・23日運転
のぞみ201,down,◆,休日と11月23・25・27・28・30日・12月23・28～31日・1月2～5・7・13日・2月10・17・23日は運休・但し、1月1日・2月11・25日は運転
のぞみ105,down,◆,11月23・25・27・28・30日・12月23・28～31日・1月2・4・5・7・13日・2月10・17・23日運転
のぞみ287,down,◆,11月23・25日・12月29・30日・2月10・23日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,11月23・25日・12月2・9・29・30日・2月10・23日運転
のぞみ203,down,◆,11月23・25日・12月2・9・29～31日・1月2～4日・2月10・23日は運休
のぞみ107,down,◆,11月23・25日・12月2・9・29～31日・1月2～4日・2月10・23日運転
ひかり671,down,◆,11月20～2月29日は運休
ひかり501,down,◆,11月20～2月29日運転
のぞみ291,down,◆,11月20～12月2・4～9・11～16・18～23・25～31日・1月6・9～11・13・15～20・22～27・29・31日～2月3・5～11・13～17・19～24・26～29日運転
のぞみ293,down,◆,11月20・22～25・27・29～12月2・7～9・14～16・19・25・26・28～31日・1月2～4・20日・2月9・10・15～17・19・20・22・23・26日運転
のぞみ205,down,◆,休日と11月20～26日・12月1・2・8・9・12・15・16・22・23・25・26・28日～1月6・8・20・27日・2月3・10・12・16・22～25日は運休・但し、12月3・10・17・24日・2月11日は運転
のぞみ109,down,◆,11月24・26日・12月23日・1月5日運転
のぞみ109,down,◆,11月20～23・25日・12月1・2・8・9・12・15・16・22・25・26・28日～1月4・6・8・20・27日・2月3・10・12・16・22～25日運転
のぞみ295,down,◆,11月20・22・23・25・27日・12月2・9・29～31日・2月10・23日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,11月23・25日・12月27～31日・1月2～6・13日・2月9・10・17・23日は運休
のぞみ111,down,◆,11月23・25日・12月27～31日・1月2～6・13日・2月9・10・17・23日運転
のぞみ297,down,◆,11月25日運転
のぞみ113,down,◆,11月23日・12月28～31日・2月10・23日運転
のぞみ299,dow・n・,◆・,11月20・23・25・27・30日・12月2・9・29～31日・2月10・17・22・23日運転
のぞみ301,down,◆,11月21～25・28・29日・12月1・2・4～9・11～16・18・20・21・23・25～31日・1月12・13・17～20・22～25・27日・2月3・6～10・13～17・19～24・26・28・29日運転
のぞみ303,down,◆,11月20～12月23・25日～1月3・6・10～13・15～20・22～27・29～2月3・5～11・13～17・19～24・26～29日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,11月20～12月2・4・5・7～9・11～16・18・21・23・26～31日・1月2・13・18～20・24・25・27日・2月3・7～10・13～17・19～24・26・28・29日運転
のぞみ209,down,◆,休日と11月20～27日・12月2・9・16・23・25日～1月4・6～8・20・27日・2月3・10・12・23～25日は運休・但し、12月3・10・17・24日・1月14・21・28日・2月4・11・18日は運転
のぞみ115,down,◆,11月25日・1月6～8日運転
のぞみ115,down,◆,11月20～24・26・27日・12月2・9・16・23・25日～1月2・4・20・27日・2月3・10・12・23～25日運転
のぞみ307,down,◆,11月22・23・25・・27日・12月1・2・6～9・14～16・28～31日・1月20・27日・2月3・9・10・15～17・19・22・23日運転
のぞみ211,down,◆,休日と11月23・25日・12月28～31日・1月2～6日・2月10・23日は運休・但し、11月26日・12月3・10・17・24日・1月1・7・14・21・28日・2月11・12・18・25日は運転
のぞみ117,down,◆,11月23・25日・12月28～31日・1月2～6日・2月10・23日運転
のぞみ309,down,◆,11月20・23・25日・12月2・9・16・28日・1月4・20日・2月10・17・23日運転
のぞみ119,down,◆,12月29～31日・1月3日運転
のぞみ311,down,◆,11月20～12月2・4～9・11～16・18～23・25日～1月2・6・12・13・15・17～20・22～27・31日～2月3・5～11・13～17・19～24・26～29日運転
のぞみ313,down,◆,11月23・25日・12月2・9・28～31日・2月10・17・23日運転
のぞみ213,down,◆,11月20～27日・12月1・2・8・9・12・23・25日～1月8日・2月10・12・17・23～25日は運休
のぞみ121,down,◆,11月22日運転
のぞみ121,down,◆,11月20・21・23～27日・12月1・2・8・9・12・23・25～1月8日・2月10・12・17・23～25日運転
のぞみ315,down,◆,11月20日～12月9・11～23・25日～1月4・6・10～13・15～20・22日～2月3・5～11・13～17・19～24・26～29日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,11月20～12月2・4・5・7～9・11～16・18・21・23・26日～1月2・6・13・18～20・27日・2月3・7～10・13～17・19～24・26・28・29日運転
のぞみ215,down,◆,休日と11月23・25・26日・12月16・23・27日～1月4・6日・2月10・23日は運休・但し、12月3・10・17・24・1月7・14・21・28日・2月11・12・18・25日は運転
のぞみ123,down,◆,11月23・25・26日・12月16・23・27～20日・1月2～4・6日・2月10・23日運転
のぞみ123,down,◆,12月31日・1月1日運転
のぞみ319,down,◆,11月20・22・23・25・27日・12月1・2・8・9・16・26日～1月1・20・27日・2月9・10・16・17・19・22・23日運転
のぞみ217,down,◆,11月23日・12月28～31日・1月2～4日・2月10・23日は運休
のぞみ125,down,◆,11月23日・12月28～31日・1月2～4日・2月10・23日運転
のぞみ321,down,◆,11月23・25日・12月2・9・16・28・29日・1月20日・2月10・17・23日運転
のぞみ127,down,◆,12月30・31日運転
のぞみ323,down,◆,11月23・25日・12月2・9・28～31日・2月10・17・23日運転
のぞみ325,down,◆,11月21日～12月9・11～16・18～23・25日～1月2・6・12・13・16～20・22～27・31日～2月3・5～11・13～17・19～24・26～29日運転
のぞみ219,down,◆,11月22・23・25・26日・12月1・2・8・9・23・25日～1月8日・2月10・12・23～25日は運休
のぞみ129,down,◆,11月22・23・25・26日・12月1・2・8・9・23・25日～1月8日・2月10・12・23～25日運転
のぞみ327,down,◆,11月20～12月9・11～16・18・21～23・25～1月2・4・6・12・13・18～20・22・26・27・29日・2月3・7～11・14～17・19～24・26日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,11月23・25・27・28日・12月2・9・16・23・26日～1月2・20・27日・2月10・16・17・23日運転
のぞみ221,down,◆,休日と11月23日・12月5・26日～1月7日・2月10・12・23・25日は運休・但し、11月26日・12月3・10・17・24日・1月14・21・28日・2月11・18日は運転
のぞみ131,down,◆,11月23日・12月27・31日・1月5～7日・2月10・12・23・25日運転
のぞみ131,down,◆,12月5・26・28～30日・1月1～4日運転
のぞみ331,down,◆,11月23・25日・12月2・16・27～31日・2月10・23日運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,11月20～12月9・11～26日・1月6・8・11日～2月3・5～9・11～17・19～22・24～29日運転
のぞみ133,down,◆,12月27日～1月4日・2月10・23日運転
のぞみ333,down,◆,11月23・25日・12月2・9・26～29日・1月1・20日・2月10・17・23日運転
のぞみ135,down,◆,12月30・31日運転
のぞみ335,down,◆,11月23日・12月28～31日・2月10・23日運転
のぞみ337,down,◆,11月20・22・23・25～29日・12月1・2・8・9・16・23・25日～1月3・6・13・20・27日・2月3・9・10・13・16・17・19・22・26・28・29日運転
のぞみ225,down,◆,11月22・23・26日・12月14・23・25日～1月5・7・8日・2月10・12・23～25日は運休
のぞみ137,down,◆,11月22・23・26日・12月14・23・25日～1月5・7・8日・2月10・12・23～25日運転
のぞみ339,down,◆,11月20・23・25・26日・12月2・9・16・23・26日～1月3・13・20・27日・2月10・16・17・22・23日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,11月20～12月6・8・9・12～16・21～23・25日～1月4・6・12・13・19・20・22・26・27日・2月3・9・10・12・13・15～17・19・21～23・25・26・28日運転
のぞみ343,down,◆,11月26日・12月2・25日・2月10・23日運転
のぞみ139,down,◆,12月10・26～28・30日～1月6日運転
のぞみ139,down,◆,11月23日・12月29日運転
のぞみ345,down,◆,11月23日・12月26日～1月1日・2月10・23日運転
のぞみ347,down,◆,11月20日～12月9・11～27日・1月1・6～9・11日～2月3・5～11・13～24・26～29日運転
のぞみ141,down,◆,2月12・25日運転
のぞみ141,down,◆,12月28～31日・1月2～4日運転
のぞみ349,down,◆,11月23日・12月28日～1月1日・2月10・23日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ351,down,◆,12月28日～31日・2月10・23日運転
のぞみ353,down,◆,11月25日・12月2・9・16・23・26日～1月3・20・27日・2月10・17・23日運転
のぞみ227,down,◆,11月23・26日・12月3・8・15・25日～1月8日・2月10・23日は運休
のぞみ145,down,◆,11月26日運転
のぞみ145,down,◆,11月23日・12月3・8・15・25日～1月8日・2月10・23日運転
のぞみ355,down,◆,11月23日・12月2・9・16・23・26日～1月3・20・27日・2月10・12・22・23・25日運転
のぞみ357,down,◆,11月20・25・28日・12月27日～1月1日・2月10・23日運転
のぞみ359,down,◆,11月26日・12月26・28日・2月10・23日運転
のぞみ147,down,◆,12月29・30日・1月2～4・8日運転
のぞみ147,down,◆,12月27・31日・1月1・7日運転
のぞみ361,down,◆,11月22・23・26日・12月1・2・8・9・15・16・21～23・25日～1月4・6・13・19・20・26・27日・2月9・10・12・16・17・22・23・25日運転
こだま725,down,☆,N700S車両で運転
のぞみ363,down,◆,11月22～25・27日～12月27日・1月1・6・12～14・17日～2月3・5～11・13～24・26～29日運転
のぞみ149,down,◆,11月26・12月28～31日・1月2～5日・2月12・25日運転
のぞみ365,down,◆,11月21・27日・12月28日～1月1日運転
のぞみ367,down,◆,12月28～31日運転
のぞみ369,down,◆,11月23・26日・12月26日～1月3日・2月10・23日運転
のぞみ229,down,◆,11月23日・12月3・8・10・15・17・24・26・27・29日～1月8・26日・2月9・12・18・22・23・25日は運休
のぞみ153,down,◆,12月15日運転
のぞみ153,down,◆,11月23日・12月3・8・10・17・24・26・27・29日～1月8・26日・2月9・12・18・22・23・25日運転
のぞみ371,down,◆,11月23・26日・12月8・26日～1月4日・2月9・10・12・22・23・25日運転
のぞみ35,down,☆,N700S車両で運転
のぞみ373,down,◆,11月26日・12月27日～1月1・3日・2月23・25日運転
のぞみ375,down,◆,11月20～25・27日～12月24・26・31日・1月6・12～14・17～20・22日～2月2・4・6～29日運転
のぞみ155,down,◆,11月26日・12月25・27～30日・1月1～5・7・8・21日運転
のぞみ377,down,◆,12月28日～1月1・3日運転
こだま729,down,☆,N700S車両で運転
のぞみ379,down,◆,11月22・23・25・27日・12月1・2・8～10・15～17・22・25～27日・1月1・6・8・14・19～21・26～28日・2月9・10・16・17・22・23日運転
のぞみ157,down,◆,11月26日・12月28～31日・1月2～4日・2月12・25日運転
のぞみ381,down,◆,12月28～31日運転
のぞみ73,down,☆,N700S車両で運転
のぞみ383,down,◆,12月28～31日運転
のぞみ385,down,◆,11月26日・12月27日～1月4日・2月10・12・22・23・25日運転
のぞみ231,down,◆,11月22・25・26日・12月3・8・10・15・17・24・27日～1月8・14・21・26・28日・2月4・9・12・16・18・22・25日は運休
のぞみ161,down,◆,11月22・25・26日・12月3・8・10・15・17・24・27日～1月8・14・21・26・28日・2月4・9・12・16・18・22・25日運転
のぞみ387,down,◆,11月22・23・26日・12月1・8・10・15・17・22・26日～1月4・8・14・19・21・26・28日・2月9・10・12・16・22・23・25日運転
のぞみ389,down,◆,11月26日・12月28日～1月1・3日・2月12・25日運転
のぞみ391,down,◆,11月20～25・27～12月2・4～9・11～26・28日・1月6・9日～2月2・4・6～11・13～24・26～29日運転
のぞみ163,down,◆,11月26日・12月3・10・29日～1月5・7・8日・2月12・25日運転
のぞみ163,down,◆,12月27日運転
のぞみ393,down,◆,11月26日・12月28～31日・1月3日・2月12・23・25日運転
のぞみ395,down,◆,11月20・22～25・27日・12月1～3・5・7～9・14・15・22・24～27・29日～1月1・4・6・8・12・14・18・19・21・26・28日・2月4・9・10・15・16・19・22・23・26日運転
のぞみ165,down,◆,11月26日・12月10・17・28日・1月2・3日・2月12・18・25日運転
のぞみ397,down,◆,11月26日・12月28～31日・2月25日運転
のぞみ399,down,◆,11月26日・12月28～31日運転
のぞみ401,down,◆,11月22・26日・12月8・15・22・27日～1月4日・2月9・10・12・22・25日運転
のぞみ233,down,◆,11月22・24・25日・12月1・3・8・10・15・17・22・24・27～30日・1月1～7・14・21・26日・2月4・9・11・12・16・22・24・25日は運休
のぞみ169,down,◆,11月22日運転
のぞみ169,down,◆,11月24・25日・12月1・3・8・10・15・17・22・24・27～30日・1月1～7・14・21・26日・2月4・9・11・12・16・22・24・25日運転
のぞみ403,down,◆,11月22～26日・12月1・3・6～8・10・14・15・17・22・24日～1月4・8・12・14・18・19・21・25・26・28日・2月2・4・8～10・12・15・16・18・21～23・25～27日運転
のぞみ405,down,◆,11月22・26日・12月8・10・15・17・28～31日・1月3・21日・2月9・12・22・25日運転
のぞみ407,down,◆,11月20～25・27日～12月2・4～7・9・11～15・18～22・25～27日・1月1・5・6・11・12・14～18・21～26・29・31日～2月2・4・6～8・10・11・13～16・19～21・23・24・26～29日運転
のぞみ171,down,◆,11月26日・12月3・8・10・17・24・31日・1月7日・2月9・12・18・22・25日運転
のぞみ171,down,◆,12月28～30日・1月2～4・8・19・28日運転
のぞみ409,down,◆,11月26日・12月28～31日・1月3日・2月12・23・25日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ235,down,◆,11月26日・1月8日・2月12・18・22・25日は運休
のぞみ173,down,◆,11月26日・1月8日・2月12・18・22・25日運転
のぞみ411,down,◆,12月28～31日・2月12・25日運転
のぞみ175,down,◆,11月26日運転
のぞみ413,down,◆,11月26日・12月28～30日・1月26日・2月12・25日運転
のぞみ415,down,◆,11月22・26日・12月1・3・8・10・15・17・22・27日～1月4・8・19・21・28日・2月9・12・16・22・23・25日運転
のぞみ237,down,◆,11月22・24～26日・12月1・3・8・10・15・17・22・24・27～31日・1月2～8・12・14・19・21・26・28日・2月2・4・9・11・12・16・18・22・24～26日は運休
のぞみ177,down,◆,11月22・24～26日・12月1・3・8・10・15・17・22・24・27～31日・1月2～8・12・14・19・21・26・28日・2月2・4・9・11・12・16・18・22・24～26日運転
のぞみ417,down,◆,11月22・24・26日・12月1・3・7・8・10・14・15・17・22・27～31日・1月3・4・8・12・14・19・21・26・28日・2月2・8・9・12・15・16・18・21・22・25日運転
のぞみ47,down,☆,N700S車両で運転
のぞみ419,down,◆,11月22・26日・12月1・3・8・10・15・17・28～30日・1月3・19・21・26・2月9・12・16・22・25日運転
のぞみ239,down,◆,土曜と11月22・26日・12月3・8・10・17・24・28～30日・1月3日・2月9・12・16・22・24・25日は運休・但し、11月25日・12月9日・1月6日・2月10日は運転
のぞみ179,down,◆,11月22・26日・12月3・8・10・17・28日・2月9・12・16・22・24・25日運転
のぞみ179,down,◆,12月24・29・30日・1月3日運転
のぞみ421,down,◆,11月22・26日・12月10・28～30日・2月9・12・22・25日運転
ひかり651,down,☆,N700S車両で運転
のぞみ241,down,◆,11月22・25・26日・12月3日・2月9・12・22・25日は運休
のぞみ181,down,◆,11月22・25・26日・12月3日・2月9・12・22・25日運転
のぞみ423,down,◆,11月26日・12月8・30日・2月12・25日運転
のぞみ183,down,◆,12月28・29日運転
のぞみ425,down,◆,11月20～26・28日～12月1・3・6・7・10・13～15・17・19～22・24日～1月4・8・12・14・18・19・21・23～26・28日・2月2・4・7～16・18・20～29日運転
のぞみ427,down,◆,11月26日・12月29・30日・2月12・22・25日運転
のぞみ243,down,◆,12月10・17・24・28日・2月9・16・18・22・25日は運休
のぞみ185,down,◆,12月10・17・24・28日・2月9・16・18・22・25日日運転
のぞみ429,down,◆,11月20日～12月1・3～8・10～15・17～22・24～31日・1月3・4・8・11・12・14・16～19・21～26・28日・2月1・2・4・6～9・11～16・18～29日運転
のぞみ431,down,◆,11月22・24・26日・12月1・3・7・8・10・15・17・22・28～30日・1月12・19・21・25・26・28日・2月2・8・9・12・14～16・18・21・22・25日運転
のぞみ245,down,◆,土曜と11月22・24～26日・12月1・3・8・10・15・22・24・27～30日・1月2～4・6～8・12・14・19・21・26・28日・2月2・4・9・11・12・16・22・24～26日は運休・但し、12月9日・2月10・17日は運転
のぞみ187,down,◆,11月22・25日・12月1・3・10・15・24日・1月26日・2月4・9・12・16・22・25日運転
のぞみ187,down,◆,11月24・26日・12月8・22・27～30日・1月2～4・6～8・12・14・19・21・28日・2月2・11・24・26日運転
のぞみ433,down,◆,11月22・26日・12月1・3・8・10・15・22・28～30日・1月12・19・26日・2月2・9・12・15・16・22・25日運転
のぞみ55,down,☆,N700S車両で運転
こだま801,down,◆,11月23・26日・12月3・10・17・24・30日～1月3・7・8・14・21・28日・2月4・11・12・18・23・25日運転
のぞみ247,down,◆,11月22・26日・12月3・10・24日・2月9・12・18・22日は運休
のぞみ189,down,◆,11月22・26日・12月3・10・24日・2月9・12・18・22日運転
のぞみ435,down,◆,11月22・26日・12月1・8・15・28～30日・1月19・26日・2月9・12・16・22・25日運転
のぞみ437,down,◆,11月22・26日・12月29・30日・2月9・12・16・22・25日運転
のぞみ439,down,◆,11月21・22・24～26日・12月1・3・6～8・10・13～15・17・21・22・24・27～30日・1月3・12・14・18・19・21・23～26・28日・2月2・7～9・12～16・18・20～22・24・25・27・29日運転
のぞみ249,down,◆,11月22・25・26日・12月1・3・8・1・0・15・17・22・24・27～29日・1月2～8・19・21・26日・2月9・11・12・16・18・22・24・25日は運休
のぞみ193,down,◆,11月22・25・26日・12月1・3・8・1・0・15・17・22・24・27～29日・1月2～8・19・21・26日・2月9・11・12・16・18・22・24・25日運転
のぞみ441,down,◆,11月20～22・24日～12月1・3～8・10～15・17～22・24～30日・1月3・11・12・14・16～19・21・23～26・28日・2月1・2・4・6～9・11～16・18～22・24～29日運転
のぞみ443,down,◆,11月21・22・24・26日・12月1・7・8・10・15・22・27～30日・1月12・19・21・25・26・28日・2月2・8・9・12・14～16・21・22・25日運転
のぞみ251,down,◆,土曜と11月22・26日・12月24・28日・2月9・22・25日は運休・但し、11月25日・12月9・30日・2月10・17・24日は運転
のぞみ195,down,◆,11月22・26日・12月24・28日・2月9・22・25日運転
のぞみ445,down,◆,11月22・26日・12月1・8・15・22・28～30日・1月12・19・26日・2月2・8・9・12・15・16・22・25日運転
のぞみ447,down,◆,11月26日・12月1・8・15・22・28・29日・1月12・19・26日・2月2・12・16・25日運転
のぞみ197,down,◆,11月22日・12月3・10・17・24日・1月5・8日・2月9・22日運転
のぞみ449,down,◆,11月21・22・24・26日・12月1・3・6～8・10・13～15・17・21・22・27～30日・1月12・14・18・19・21・23～26・28日・2月1・2・7～9・12～16・18・20～22・24・25・27・29日運転
のぞみ59,down,☆,N700S車両で運転
のぞみ451,down,◆,11月22・26日・12月1・8・2829日・1月19・26日・2月9・16・22日運転
のぞみ453,down,◆,11月22・24・26日・12月1・3・8・10・15・17・22・24・28～30日・1月12・19・21・26・28日・2月2・8・9・12・15・16・22・25日運転
のぞみ455,down,◆,11月21・22・24・26日・12月1・3・7・8・10・15・17・22・24・27～30日・1月12・14・19・21・26・28日・2月2・8・9・12・15・16・18・21・22・25日運転
のぞみ457,down,◆,11月22・26日・12月1・8・15・22・28・29日・1月12・19・26日・2月2・9・12・16・22・25日運転
のぞみ459,down,◆,11月20日～12月1・3～15・17～22・24～30日・1月3・5・7・8・11・12・14・16～19・21・23～26・28日・2月1・2・4・6～16・18～29日運転
ひかり661,down,☆,N700S車両で運転
