期間,20220301,20220311
のぞみ273,down,◆,3月5日運転
のぞみ275,down,◆,3月4・11日運転
のぞみ201,down,◆,休日運休・但し、3月6日は運転
のぞみ277,down,◆,3月5日運転
のぞみ279,down,◆,3月5日運転
こだま703,down,☆,N700S車両で運転
のぞみ283,down,◆,3月4・5・11日運転
のぞみ205,down,◆,休日と3月5日は運休
のぞみ127,down,◆,3月5日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,3月5日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ295,down,◆,3月4～6・11日運転
のぞみ209,down,◆,休日運休
のぞみ297,down,◆,3月5日運転
のぞみ211,down,◆,休日運休
のぞみ301,down,◆,3月5日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ307,down,◆,3月4・5・11日運転
のぞみ215,down,◆,休日運休
のぞみ309,down,◆,3月5日運転
のぞみ313,down,◆,3月5日運転
のぞみ319,down,◆,3月4～6・11日運転
のぞみ221,down,◆,休日運休
のぞみ323,down,◆,3月5日運転
のぞみ331,down,◆,3月4～6・11日運転
のぞみ337,down,◆,3月5日運転
のぞみ347,down,◆,3月4～6・11日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,3月4～6・11日運転
のぞみ379,down,◆,3月5・6日運転
のぞみ381,down,◆,3月4・11日運転
こだま733,down,☆,N700S車両で運転
のぞみ387,down,◆,3月4・6・11日運転
のぞみ395,down,◆,3月6日運転
のぞみ397,down,◆,3月4・11日運転
のぞみ173,down,◆,3月6日運転
のぞみ403,down,◆,3月4・6・11日運転
のぞみ409,down,◆,3月6・11日運転
のぞみ239,down,◆,土曜と3月4・6・11日は運休
のぞみ179,down,◆,3月4・6・11日運転
のぞみ411,down,◆,3月4・11日運転
のぞみ413,down,◆,3月6日運転
のぞみ415,down,◆,3月4・6・11日運転
のぞみ421,down,◆,3月4・6・11日運転
のぞみ245,down,◆,土曜と3月4・6・11日は運休
のぞみ185,down,◆,3月4・6・11日運転
のぞみ423,down,◆,3月4・11日運転
こだま801,down,◆,3月6日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ425,down,◆,3月11日運転
のぞみ427,down,◆,3月4・6・11日運転
のぞみ429,down,◆,3月4・6・11日運転
のぞみ431,down,◆,3月4・6・11日運転
のぞみ433,down,◆,3月11日運転
のぞみ249,down,◆,土曜運休
のぞみ435,down,◆,3月4・11日運転
のぞみ437,down,◆,3月4・11日運転
のぞみ439,down,◆,3月4・6・11日運転
のぞみ441,down,◆,3月4・11日運転
のぞみ253,down,☆,N700S車両で運転
のぞみ443,down,◆,3月4・6・11日運転
のぞみ447,down,◆,3月4・11日運転
こだま805,down,◆,休日運休
のぞみ449,down,◆,3月4・11日運転
のぞみ451,down,◆,3月4・6・11日運転
のぞみ453,down,◆,3月4・6・11日運転
のぞみ455,down,◆,3月11日運転
のぞみ257,down,☆,N700S車両で運転
のぞみ457,down,◆,3月4・6・11日運転
のぞみ461,down,◆,3月6・11日運転
ひかり665,down,◆,3月6日運転
のぞみ465,down,◆,3月4～6・11日運転
のぞみ467,down,◆,3月6日運転
のぞみ469,down,◆,3月4・11日運転
のぞみ471,down,◆,3月5・6日運転
のぞみ473,down,◆,3月4～6・11日運転
のぞみ71,down,◆,3月4・6・11日運転
こだま802,up,◆,土曜・休日運休
こだま806,up,◆,土曜・休日運休
こだま810,up,◆,土曜・休日運休
のぞみ70,up,◆,3月5・7日運転
こだま816,up,◆,土曜・休日運休
こだま818,up,◆,土曜・休日運休
のぞみ204,up,☆,N700S車両で運転
のぞみ270,up,◆,3月4・5・11日運転
のぞみ206,up,◆,休日運休
のぞみ274,up,◆,3月4・5・11日運転
のぞみ278,up,◆,3月4・11日運転
のぞみ208,up,◆,休日運休
のぞみ210,up,☆,N700S車両で運転
のぞみ212,up,◆,休日運休
こだま824,up,◆,3月5日運転
のぞみ288,up,◆,3月4・5・11日運転
のぞみ290,up,◆,3月5日運転
のぞみ214,up,◆,休日運休
のぞみ298,up,◆,3月5日運転
のぞみ304,up,◆,3月4・5・11日運転
のぞみ218,up,◆,休日運休
のぞみ310,up,◆,3月5日運転
のぞみ314,up,◆,3月4・5・11日運転
のぞみ220,up,◆,休日運休
のぞみ322,up,◆,3月4・11日運転
のぞみ126,up,◆,3月5日運転
のぞみ332,up,◆,3月5日運転
ひかり648,up,☆,N700S車両で運転
のぞみ338,up,◆,3月4～6・11日運転
こだま724,up,☆,N700S車両で運転
のぞみ354,up,◆,3月5・6日運転
のぞみ356,up,◆,3月5日運転
のぞみ364,up,◆,3月4・11日運転
のぞみ372,up,◆,3月5・6日運転
のぞみ376,up,◆,3月4・6・11日運転
のぞみ380,up,◆,3月4～6・11日運転
のぞみ388,up,◆,3月4～6・11日運転
のぞみ390,up,◆,3月4・6・11日運転
のぞみ394,up,◆,3月6日運転
のぞみ396,up,◆,3月6日運転
のぞみ402,up,◆,3月4・6・11日運転
のぞみ404,up,◆,3月6日運転
のぞみ406,up,◆,3月6日運転
のぞみ236,up,☆,N700S車両で運転
のぞみ410,up,◆,3月4～6・11日運転
のぞみ414,up,◆,3月4・6・11日運転
のぞみ238,up,◆,土曜運休
のぞみ418,up,◆,3月4・6・11日運転
のぞみ242,up,☆,N700S車両で運転
のぞみ422,up,◆,3月4・6・11日運転
のぞみ428,up,◆,3月4・6・11日運転
こだま748,up,☆,N700S車両で運転
のぞみ244,up,◆,土曜と3月4・6日は運休
のぞみ168,up,◆,3月4・6日運転
のぞみ430,up,◆,3月4・6・11日運転
のぞみ434,up,◆,3月4・6・11日運転
のぞみ438,up,◆,3月4・6・11日運転
のぞみ440,up,◆,3月4・11日運転
のぞみ248,up,◆,土曜と3月6・11日は運休・但し、3月5日は運転
のぞみ172,up,◆,3月6・11日運転
のぞみ250,up,◆,3月4・6・11日運転
のぞみ448,up,◆,3月4・6・11日運転
のぞみ452,up,◆,3月4～6・11日運転
こだま754,up,☆,N700S車両で運転
のぞみ180,up,◆,3月4・6・11日運転
のぞみ460,up,◆,3月6日運転
のぞみ254,up,◆,3月1～4・6・8～11日運転
のぞみ462,up,◆,3月6日運転
のぞみ464,up,◆,3月4・6・11日運転
ひかり668,up,☆,N700S車両で運転
のぞみ466,up,◆,3月4・6・11日運転
のぞみ468,up,◆,3月6日運転
のぞみ470,up,◆,3月4～6・11日運転
