期間,20230201,20230228
のぞみ121,down,◆,2月[23]日運転
のぞみ273,down,◆,2月[11]・[18]・[25]日運転
のぞみ275,down,◆,2月[3]・[4]・[10]・11・[12]・[13]・[16]・[17]・18・[20]・23・[24]・25・[27]日運転
のぞみ201,down,◆,休日運休・但し、2月23日は運転
のぞみ277,down,◆,2月11・18・23・25日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,2月[4]・[11]日運転
のぞみ125,down,◆,2月[23]日運転
のぞみ283,down,◆,2月[3]・10・11・16～18・23・[24]・25日運転
のぞみ127,down,◆,2月4・10・11・17・18・22～25日運転
のぞみ205,down,◆,休日と2月4・10・11・17・18・22～25日は運休・但し、2月[12]・[19]・[26]日は運転
のぞみ285,down,◆,2月[25]日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,2月[2]・[4]・[7]・[8]・[9]・[10]・11・[13]・[14]・[15]・[16]・[17]・18・[20]・[21]・[22]・23・25・[27]・[28]日運転
のぞみ289,down,◆,2月[18]・[23]・[25]日運転
のぞみ291,down,◆,2月[23]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,2月[4]・[11]日運転
のぞみ293,down,◆,2月[23]日運転
のぞみ295,down,◆,2月10・11・16～18・23・25日運転
のぞみ131,down,◆,2月11・18・23～25日運転
のぞみ209,down,◆,休日と2月11・18・23～25日は運休・但し、2月[5]・[12]・19・26日は運転
のぞみ297,down,◆,2月11・18・[23]日運転
のぞみ211,down,◆,休日運休・但し、2月[5]・[12]・[19]・23・[26]日は運転
のぞみ299,down,◆,2月[11]・[18]・[23]・[25]日運転
のぞみ301,down,◆,2月[2]・[3]・4・[7]・[8]・9・[10]・[12]・[13]・[14]・15・[16]・[17]・[18]・[19]・[20]・[21]・[22]・23・[24]・25・[26]・[27]・[28]日運転
のぞみ303,down,◆,2月[23]・[25]日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,2月11・[18]日運転
のぞみ305,down,◆,2月[4]・[23]・[25]日運転
のぞみ307,down,◆,2月[2]・[3]・4・[7]・[8]・9・10・[12]・[13]・[14]・15～17・[20]・[21]・23・[24]・25・[27]・[28]日運転
