期間,20230301,20230317
回送983,down,◆,3月7・16・27日運転
のぞみ275,down,◆,3月[4]・[10]・[11]・13・[14]・17日運転
のぞみ201,down,◆,休日運休
のぞみ279,down,◆,3月[6]日運転
こだま703,down,☆,N700S車両で運転
のぞみ283,down,◆,3月[3]・4・[9]・10・11・13・[14]・[15]・[16]・17日運転
のぞみ127,down,◆,3月3・4・10・11・17日運転
のぞみ205,down,◆,休日と3月3・4・10・11・17日は運休
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,3月[4]・[10]・[11]日運転
のぞみ289,down,◆,3月[6]・[13]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ293,down,◆,3月[11]日運転
のぞみ295,down,◆,3月2～4・6～11・[12]・13～17日運転
のぞみ131,down,◆,3月4・11・17日運転
のぞみ209,down,◆,休日と3月4・11・17日は運休・但し、3月5・12日は運転
のぞみ297,down,◆,3月[4]・[11]日運転
のぞみ211,down,◆,休日運休・但し、3月[5]・12日は運転
のぞみ299,down,◆,3月[11]・[13]日運転
のぞみ301,down,◆,3月4・[6]・9・[10]・11・13・14・[17]日運転
のぞみ303,down,◆,3月[4]日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,3月[11]日運転
のぞみ305,down,◆,3月1・2・6～9・13～16日運転
のぞみ307,down,◆,3月[2]・3・4・[7]・[8]・9～11・[12]・13～17日運転
のぞみ215,down,◆,休日運休・但し、3月[5]・[12]日は運転
のぞみ309,down,◆,3月[4]・[11]日運転
のぞみ311,down,◆,3月[11]日運転
のぞみ313,down,◆,3月[4]・[10]・11・[13]・[17]日運転
のぞみ319,down,◆,3月[3]・[4]・[10]・11・17日運転
のぞみ221,down,◆,休日運休・但し、3月5・12日は運転
のぞみ321,down,◆,3月[11]日運転
のぞみ223,down,◆,3月3・4・[6]・9～11・[12]・13～17日運転
のぞみ327,down,◆,3月[11]日運転
のぞみ331,down,◆,3月3～5・[6]・9～14・[15]・16・17日運転
のぞみ335,down,◆,3月[11]日運転
のぞみ337,down,◆,3月[3]・[4]・[10]・11・17日運転
のぞみ347,down,◆,3月3～5・10～12・[16]・17日運転
のぞみ355,down,◆,3月[11]・17日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,3月3・[4]・5・10～12・[16]・17日運転
のぞみ163,down,◆,3月[17]日運転
のぞみ371,down,◆,3月[5]・[12]日運転
