期間,20220509,20220531
のぞみ273,down,◆,5月14・21・28日運転
のぞみ275,down,◆,5月13・14・20・21・27・28日運転
のぞみ201,down,◆,休日運休・但し、5月15・22・29日は運転
のぞみ277,down,◆,5月13・14・20・21・27・28日運転
のぞみ279,down,◆,5月14・21・28日運転
こだま703,down,☆,N700S車両で運転
のぞみ283,down,◆,5月13・14・20・21・27・28日運転
のぞみ127,down,◆,5月13・14・20・21・27・28日運転
のぞみ205,down,◆,休日と5月13・14・20・21・27・28日は運休
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,5月13・14・20・21・27・28日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ295,down,◆,5月13・14・20・21・27・28日運転
のぞみ209,down,◆,休日運休・但し、5月15・22・29日は運転
のぞみ297,down,◆,5月14・21・28日運転
のぞみ211,down,◆,休日運休
のぞみ301,down,◆,5月13・14・20・21・27・28日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ307,down,◆,5月13・14・20・21・27・28日運転
のぞみ215,down,◆,休日運休
のぞみ309,down,◆,5月14・21・28日運転
のぞみ313,down,◆,5月14・21・28日運転
のぞみ221,down,◆,休日運休・但し、5月15・22・29日は運転
のぞみ321,down,◆,5月14・21・28日運転
のぞみ223,down,◆,5月13・14・20・21・27・28日運転
のぞみ331,down,◆,5月13～15・20～22・27～29日運転
のぞみ337,down,◆,5月14・21・28日運転
のぞみ347,down,◆,5月13～15・20～22・27～29日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,5月13～15・20～22・27～29日運転
のぞみ371,down,◆,5月22・29日運転
のぞみ379,down,◆,5月13～15・21・28日運転
のぞみ167,down,◆,5月22・29日運転
のぞみ383,down,◆,5月15・20・27日運転
こだま733,down,☆,N700S車両で運転
のぞみ387,down,◆,5月13・15・20・22・27・29日運転
のぞみ389,down,◆,5月22・29日運転
のぞみ395,down,◆,5月22・29日運転
のぞみ173,down,◆,5月15・20・22・27・29日運転
のぞみ397,down,◆,5月13日運転
のぞみ399,down,◆,5月15・20・22・27・29日運転
のぞみ403,down,◆,5月13・15・20・22・27・29日運転
のぞみ179,down,◆,5月13・15・20・22・27・29日運転
のぞみ239,down,◆,土曜と5月13・15・20・22・27・29日は運休
のぞみ411,down,◆,5月13・15・20・22・27・29日運転
のぞみ415,down,◆,5月13・15・20・22・27・29日運転
のぞみ417,down,◆,5月15・22・29日運転
のぞみ421,down,◆,5月13・15・20・22・27・29日運転
のぞみ185,down,◆,5月13・20・22・27・29日運転
のぞみ245,down,◆,土曜と5月13・20・22・27・29日は運休
こだま801,down,◆,5月15・22・29日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ425,down,◆,5月13・15・20・22・27・29日運転
のぞみ427,down,◆,5月13・20・27日運転
のぞみ429,down,◆,5月13・15・20・22・27・29日運転
のぞみ431,down,◆,5月13・15・20・22・27・29日運転
のぞみ433,down,◆,5月20・27日運転
のぞみ251,down,◆,土曜運休
のぞみ435,down,◆,5月13・15・20・22・27・29日運転
のぞみ439,down,◆,5月13・15・20・22・27・29日運転
のぞみ441,down,◆,5月13・20・27日運転
のぞみ255,down,☆,N700S車両で運転
のぞみ443,down,◆,5月13・20・27日運転
のぞみ445,down,◆,5月13・15・20・22・27・29日運転
のぞみ447,down,◆,5月20・27日運転
のぞみ449,down,◆,5月13・15・20・22・27・29日運転
こだま805,down,◆,休日運休
のぞみ451,down,◆,5月13・15・20・22・27・29日運転
のぞみ455,down,◆,5月13・15・20・22・27・29日運転
のぞみ459,down,◆,5月13・15・20・22・27・29日運転
のぞみ465,down,◆,5月13～15・20～22・27～29日運転
のぞみ467,down,◆,5月13・15・20・22・27・29日運転
のぞみ469,down,◆,5月13・15・20・22・27・29日運転
のぞみ261,down,☆,N700S車両で運転
のぞみ471,down,◆,5月15・20・22・27・29日運転
のぞみ473,down,◆,5月13～15・20～22・27～29日運転
のぞみ71,down,◆,5月15・22・29日運転
こだま802,up,◆,土曜・休日運休
こだま806,up,◆,土曜・休日運休
こだま810,up,◆,土曜・休日運休
のぞみ70,up,◆,5月9・14・16・21・23・28・30日運転
こだま816,up,◆,土曜・休日運休
こだま818,up,◆,土曜・休日運休
のぞみ204,up,☆,N700S車両で運転
のぞみ270,up,◆,5月13・14・21・28日運転
のぞみ274,up,◆,5月10～14・17～21・24～28・31日運転
のぞみ276,up,◆,5月13・14・20・21・27・28日運転
のぞみ208,up,◆,休日運休
のぞみ282,up,◆,5月13・14・20・21・27・28日運転
のぞみ286,up,◆,5月14・21・28日運転
のぞみ210,up,☆,N700S車両で運転
のぞみ212,up,◆,休日運休
のぞみ288,up,◆,5月13・14・20・21・27・28日運転
のぞみ290,up,◆,5月13日運転
のぞみ214,up,◆,休日運休
のぞみ298,up,◆,5月14・21・28日運転
のぞみ216,up,◆,休日運休・但し、5月22・29日は運転
のぞみ304,up,◆,5月13・14・20・21・27・28日運転
のぞみ218,up,◆,休日運休・但し、5月15日は運転
のぞみ310,up,◆,5月14・21・28日運転
のぞみ318,up,◆,5月13・14・20・21・27・28日運転
のぞみ220,up,◆,休日運休
のぞみ128,up,◆,5月14・21・28日運転
のぞみ322,up,◆,5月13・15・22・29日運転
のぞみ326,up,◆,5月14・21・28日運転
のぞみ332,up,◆,5月13・14・20・21・27・28日運転
ひかり648,up,☆,N700S車両で運転
のぞみ338,up,◆,5月13～15・20～22・27～29日運転
こだま724,up,☆,N700S車両で運転
のぞみ354,up,◆,5月13～15・20～22・27～29日運転
のぞみ364,up,◆,5月15・20・22・27・29日運転
のぞみ374,up,◆,5月13・15・20・22・27・29日運転
のぞみ376,up,◆,5月15・22・29日運転
のぞみ380,up,◆,5月13～15・20～22・27～29日運転
のぞみ382,up,◆,5月22・29日運転
のぞみ388,up,◆,5月13～15・20～22・27～29日運転
のぞみ390,up,◆,5月13・15・20・22・27・29日運転
のぞみ392,up,◆,5月15・22・29日運転
のぞみ394,up,◆,5月22・29日運転
のぞみ402,up,◆,5月13・15・20・22・27・29日運転
のぞみ404,up,◆,5月13・15・20・22・27・29日運転
のぞみ406,up,◆,5月15・22・29日運転
のぞみ408,up,◆,5月22・29日運転
のぞみ236,up,☆,N700S車両で運転
のぞみ410,up,◆,5月13・15・20・22・27・29日運転
のぞみ414,up,◆,5月13・15・20・22・27・29日運転
のぞみ238,up,◆,土曜運休
のぞみ416,up,◆,5月13・15・20・22・27・29日運転
のぞみ240,up,◆,5月15・20・22・27・29日は運休
のぞみ166,up,◆,5月15・20・22・27・29日運転
のぞみ422,up,◆,5月13・15・20・22・27・29日運転
のぞみ426,up,◆,5月20・27日運転
のぞみ428,up,◆,5月13・15・20・22・27・29日運転
こだま748,up,☆,N700S車両で運転
のぞみ170,up,◆,5月13・15・20・22・27・29日運転
のぞみ244,up,◆,土曜と5月13・15・20・22・27・29日は運休
のぞみ430,up,◆,5月13・15・20・22・27・29日運転
のぞみ246,up,☆,N700S車両で運転
のぞみ436,up,◆,5月13・15・20・22・27・29日運転
のぞみ438,up,◆,5月13・15・20・22・27・29日運転
のぞみ440,up,◆,5月20・27日運転
のぞみ248,up,◆,5月15日運転
のぞみ174,up,◆,5月13・20・22・27・29日運転
のぞみ442,up,◆,5月15・20・22・27・29日運転
のぞみ446,up,◆,5月13・15・20・22・27・29日運転
のぞみ448,up,◆,5月13日運転
のぞみ250,up,◆,土曜運休・但し、5月14・21・28日は運転
のぞみ452,up,◆,5月15・20・22・27・29日運転
こだま754,up,☆,N700S車両で運転
のぞみ454,up,◆,5月13～15・21・22・28・29日運転
のぞみ456,up,◆,5月20・27日運転
のぞみ182,up,◆,5月13・20・22・27・29日運転
のぞみ458,up,◆,5月15日運転
のぞみ254,up,◆,5月14・15・21・22・28・29日運転
のぞみ460,up,◆,5月20・27日運転
のぞみ462,up,◆,5月13・15・22・29日運転
のぞみ464,up,◆,5月13・15・20・22・27・29日運転
ひかり668,up,☆,N700S車両で運転
のぞみ466,up,◆,5月15・20・22・27・29日運転
のぞみ468,up,◆,5月13～15・20～22・27～29日運転
のぞみ470,up,◆,5月13・15・20・22・27・29日運転
