期間,20230920,20231130
回送981,down,◆,10月2日運転
回送983,down,◆,9月27日・10月9・14・18・27日・11月5・14・23日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,9月23・25・30日・10月2・7・10・14・16・21・23・28・30日・11月3・6・11・13・18・20・23・25・27日運転
のぞみ101,down,◆,10月7・21・28日・11月3・11・18・23・25・26日運転
のぞみ283,down,◆,10月6・7・14・17・18・24～27・11月2・3・14～16・18・20～25・27日運転
ひかり535,down,◆,9月20日～11月30日は運休
ひかり535,down,◆,9月20日～11月30日運転
のぞみ285,down,◆,9月22・25～27・30・10月4・5・10～12・19・23日・11月7・8・14・27～30日運転
のぞみ103,down,◆,11月11・18日運転
のぞみ103,down,◆,9月23日・10月6～9・13・14・20・21・26～28日・11月2～6・9・10・13・15～17・19～26日運転
のぞみ201,down,◆,休日と9月23日・10月5・7・8・10～12・14・16～19・21・23～25・27・28・30日～11月1・3・8・10・11・14・17・18・23・25・27・28・30日は運休・但し、10月15・22・29日・11月12・19日は運転
のぞみ105,down,◆,9月23日・10月5・7・8・10～12・14・16～19・21・23～25・27・28・30日～11月1・3・8・10・11・14・17・18・23・25・27・28・30日運転
のぞみ287,down,◆,10月7・31日・11月3・10・18・23・25日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,10月7・14・18・24・25・28日・11月3・10・11・17・18・23・25日運転
のぞみ203,down,◆,10月7日・11月3・23・25日は運休
のぞみ107,down,◆,10月7日・11月3・23・25日運転
ひかり671,down,◆,9月20～11月30日は運休
ひかり501,down,◆,9月20～11月30日運転
のぞみ291,down,◆,9月22・23・25・26・28～30日・10月2～8・10～14・16～21・23日～11月4・6～11・13～30日運転
のぞみ293,down,◆,9月20・21・23～27日・10月6・7・10・12・14・19～21・23・25～28日・11月2・3・6・8・10・11・13～18・20・22～25・27・29・30日運転
のぞみ205,down,◆,休日と9月22・23日・10月6～9・13～15・20～22・26～29日・11月2～7・9～13・15～26日は運休
のぞみ109,down,◆,9月23日・10月8・14・20・21日・11月2・5・13・18・24・26日運転
のぞみ109,down,◆,9月22日・10月6・7・9・13・15・22・26～29日・11月3・4・6・7・9～12・15～17・19～23・25日運転
のぞみ295,down,◆,10月7・14・26・28日・11月3・11・17・18・20・22・23・25・27日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,9月23日・10月7・14・21・27・28日・11月3・11・17・18・23・25日は運休
のぞみ111,down,◆,9月23日・10月7・14・21・27・28日・11月3・11・17・18・23・25日運転
のぞみ297,down,◆,11月11・18・25日運転
のぞみ113,down,◆,10月7日・11月3・23日運転
のぞみ299,down,◆,10月5～7・11・14・17・21・24・28・30日・11月3・6・9～11・14～18・20・23・25・27・30日運転
のぞみ301,down,◆,9月20・22・23・30日・10月2・4・6～8・10・12～14・16・18～21・23・25～28・31日・11月2～4・7～11・13・15～18・21～25・28・29日運転
のぞみ303,down,◆,9月20～30日・10月2～8・10日～11月4・6～30日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,9月20・22～28・30日・10月2～8・10・12～14・17～21・23～29・31日～11月3・6～11・13～30日運転
のぞみ209,down,◆,休日と9月23・30日・10月6～14・16～21・23～28・30日・11月2～27日は運休・但し、10月1・15・22・29日は運転
のぞみ115,down,◆,10月13・14・21・27・28日・11月4・11・18・19・25日運転
のぞみ115,down,◆,9月23・30日・10月6～12・16～20・23～26・30日・11月2・3・5～10・12～17・20～24・26・27日運転
のぞみ307,down,◆,9月23・30日・10月2～4・6・7・14・21・26～28日・11月2・3・7～18・22・23・25・27日運転
のぞみ211,down,◆,休日と9月23日・10月7・21日・11月3・11・18・23・25日は運休・但し、10月1・8・9・15・22・29日・11月5・12・19・26日は運転
のぞみ117,down,◆,9月23日・10月7・21日・11月3・11・18・23・25日運転
のぞみ309,down,◆,9月23日・10月5・10・14・21・28日・11月10・11・16～18・20・23・25日運転
のぞみ119,down,◆,9月22日・10月7日・11月3・15日運転
のぞみ311,down,◆,10月6・7・11～14・16～21・23～28・30日・11月2～4・6・8～11・13・14・16～18・20～30日運転
のぞみ313,down,◆,9月23・30日・10月7・14・28日・11月3・11・18・23・25日運転
のぞみ213,down,◆,10月6・7・9・10・13・14・16・19～21・23・26～28日・11月2・3・5～11・13・14・16～18・20～27日は運休
のぞみ121,down,◆,10月9日・11月18・22日運転
のぞみ121,down,◆,10月6・7・10・13・14・16・19～21・23・26～28日・11月2・3・5～11・13・14・16・17・20・21・23～27日運転
のぞみ315,down,◆,9月20～23・25～11月30日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,9月22～24・30日・10月4～8・12～14・17～21・24～29日・11月2・3・5～30日運転
のぞみ215,down,◆,休日と9月23日・10月7・28日・11月3・19・23・25・26日は運休・但し、10月1・8・9・15・22日・11月12日は運転
のぞみ123,down,◆,9月23日・10月7・28日・11月3・23・25・26日運転
のぞみ123,down,◆,11月19日運転
のぞみ319,down,◆,9月23日・10月3・6・7・14・21・23・26～28日・11月3・8～11・13～18・20・22・23・25・27日運転
のぞみ217,down,◆,10月7日・11月3・23日は運休
のぞみ125,down,◆,10月7日・11月3・23日運転
のぞみ321,down,◆,9月23・30日・10月7・14・28日・11月3・11・17・18・23・25日運転
のぞみ323,down,◆,10月7・14・28日・11月3・11・18・23・25日運転
のぞみ325,down,◆,9月22・23・25・26・30日・10月2・3・5～7・10～21・23～31日・11月2～4・6～10・11・13～19・21～30日運転
のぞみ219,down,◆,9月23日・10月6・7・9・20・21・27・28日・11月2・3・5・10・11・17～19・22・23・25・26日は運休
のぞみ129,down,◆,9月23日・10月6・7・9・20・21・27・28日・11月2・3・5・10・11・17～19・22・23・25・26日運転
のぞみ327,down,◆,9月22・23・25・26・30日・10月3～8・10～14・16・18～28・30・31日・11月2～18・20～30日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,9月23日・10月7・14・21・28日・11月3・11・17・18・23・25・27・28日運転
のぞみ221,down,◆,休日と10月7日・11月3・23日は運休・但し、9月23日・10月1・8・9・15・22・29日・11月5・12・19・26日は運転
のぞみ131,down,◆,10月7日・11月3・23日運転
のぞみ331,down,◆,10月7日・11月3・18・23・25日運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,9月20・22～30日・10月2・4～8・10～28・30日～11月2・4・6～11・13～30日運転
のぞみ133,down,◆,10月29日・11月3日運転
のぞみ333,down,◆,10月7・9・14・28日・11月3・11・18・23・25日運転
のぞみ335,down,◆,10月3・7日・11月3・18・23日運転
のぞみ337,down,◆,9月23・30日・10月3・6・7・14・15・17・20・21・26～28日・11月2・3・6～8・10～20・22・23・25～29日運転
のぞみ225,down,◆,10月7・9・28日・11月3・5・10・11・17・18・22・23・26日は運休
のぞみ137,down,◆,10月7・9・28日・11月3・5・10・11・17・18・22・23・26日運転
のぞみ339,down,◆,9月23日・10月3・7・14・21・23・28日・11月3・11・17～20・23・25・26日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,9月23・30日・10月6～8・10・12～14・16・17・20～22・26～30日・11月2～30日運転
のぞみ343,down,◆,10月9日・11月18・26日運転
のぞみ139,down,◆,10月6・7日・11月3日運転
のぞみ139,down,◆,11月23日運転
のぞみ345,down,◆,10月7日・11月3・23日運転
のぞみ347,down,◆,9月20・22～26・28～30日・10月16・18日・11月30日運転
のぞみ349,down,◆,10月7日・11月3・23日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ351,down,◆,10月7日・11月3・11・18・25日運転
のぞみ353,down,◆,9月23日・10月7・28日・11月3・11・18・25日運転
のぞみ227,down,◆,10月7・9・15・22・27・29日・11月3・5・10・12・17・19・23・26日は運休
のぞみ145,down,◆,10月9・15・22・27・29日・11月5・10・12・17・19・26日運転
のぞみ145,down,◆,10月7日・11月3・23日運転
のぞみ355,down,◆,9月23日・10月7日・11月3・7・14・18・23日運転
のぞみ357,down,◆,10月1日・11月3・19・20・25・28日運転
のぞみ359,down,◆,10月9日・11月5・26日運転
のぞみ147,down,◆,10月7日運転
のぞみ147,down,◆,11月3日運転
のぞみ361,down,◆,9月23日・10月6・7・9・13・14・21・22・27～29日・11月2・3・10・11・17・18・22・23・26日運転
こだま725,down,☆,N700S車両で運転
のぞみ363,down,◆,9月22～25・29・30日・10月2～5・7・8・10～28・30・31日・11月3・4・6・8～11・13～16・18・22～25・27～30日運転
のぞみ149,down,◆,10月6・9・29日・11月2・5・12・17・19・26日運転
のぞみ365,down,◆,11月5・21・27日運転
のぞみ369,down,◆,10月6・7日・11月3・12・23・26日運転
のぞみ229,down,◆,9月24・29日・10月1・7・13・15・20・22・27日・11月3・5・10・19・23日は運休
のぞみ153,down,◆,9月24・29日・10月1・7・13・15・20・22・27日・11月3・5・10・19・23日運転
のぞみ371,down,◆,10月6・7・9・29日・11月2・3・5・17・18・23・26日運転
のぞみ35,down,☆,N700S車両で運転
のぞみ373,down,◆,10月9・23日・11月5・26日運転
のぞみ375,down,◆,9月22～25・29日～10月8・10～22・24～31日・11月2～25・27～30日運転
のぞみ155,down,◆,10月9日・11月26日運転
こだま729,down,☆,N700S車両で運転
のぞみ379,down,◆,9月22・23日・10月1・7・13・14・20・22・27～29日・11月2・3・10・11・17～19・22・23・25・27日運転
のぞみ157,down,◆,9月24日・10月9日・11月5・12・26日運転
のぞみ73,down,☆,N700S車両で運転
のぞみ385,down,◆,10月6・7・9日・11月3・5・26日運転
のぞみ231,down,◆,9月22・29日・10月1・6～9・13・15・20・22・27・29日・11月2～5・10・12・17・19・22・25・26日は運休
のぞみ161,down,◆,11月12日運転
のぞみ161,down,◆,9月22・29日・10月1・6～9・13・15・20・22・27・29日・11月2～5・10・17・19・22・25・26日運転
のぞみ387,down,◆,9月24日・10月1・6・7・9・13・15・20・22・27・29日・11月2・3・5・10・12・17・19・22・23・26日運転
のぞみ389,down,◆,10月9・29日・11月5・26日運転
のぞみ391,down,◆,9月20～23・25・27～10月8・10～12・14・16～19・21・23～28・30日・11月4・6～9・11～16・18・20～25・27～30日運転
のぞみ163,down,◆,9月24日・10月9・15・22・29日・11月5・17・19・26日運転
のぞみ163,down,◆,11月10日運転
のぞみ393,down,◆,10月9日・11月5・26日運転
のぞみ395,down,◆,9月22・29日・10月1・7・12・15・20・22・26・28・30日・11月2・3・6・8・10・11・16～18・20・22～25・27日運転
のぞみ165,down,◆,9月24日・10月6・9・13・14・27・29日・11月5・12・19・26日運転
のぞみ397,down,◆,10月9日・11月5・26日運転
のぞみ399,down,◆,11月26日運転
のぞみ401,down,◆,10月6・9・13・20・22・27・29日・11月2・5・12・17・19・22・26日運転
のぞみ233,down,◆,9月22・24・29日・10月1・6・8・13・15・20～22・28・29日・11月2・4・10～12・17～19・22・24・25日は運休
のぞみ169,down,◆,11月22日運転
のぞみ169,down,◆,9月22・24・29日・10月1・6・8・13・15・20～22・28・29日・11月2・4・10～12・17～19・24・25日運転
のぞみ403,down,◆,9月22・24・29日・10月1・6・7・9・13・15・20・22・25～27・29日・11月2・3・5・9・10・12・16・17・19・22～26日運転
のぞみ405,down,◆,9月24日・10月6・9・14・17・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ407,down,◆,9月20～22・25・27～29日・10月2～5・7・8・10～12・16・18・19・23～26・28・30日・11月1・3・4・6～9・11・13～16・18・20～25・27～30日運転
のぞみ171,down,◆,9月24日・10月9・13・20・22・27・29日・11月2・5・10・12・17・19・26日運転
のぞみ171,down,◆,10月1・15日運転
のぞみ409,down,◆,10月6・9・29日・11月5・12・19・26日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ235,down,◆,9月22・24日・10月9・15・22・29日・11月2・5・12・19・26日は運休
のぞみ173,down,◆,9月22・24日・10月9・15・22・29日・11月2・5・12・19・26日運転
のぞみ411,down,◆,11月5日運転
のぞみ175,down,◆,10月9日・11月26日運転
のぞみ413,down,◆,10月9日・11月5・26日運転
のぞみ415,down,◆,9月24日・10月1・6・9・13・15・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ237,down,◆,9月24・29日・10月1・6・8・9・13～15・20・22・27・29日・11月2・4・5・10・12・16～19・22・24～26日は運休
のぞみ177,down,◆,9月24・29日・10月1・6・8・9・13～15・20・22・27・29日・11月2・4・5・10・12・16～19・22・24～26日運転
のぞみ417,down,◆,9月22・24・29日・10月1・6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・24・26日運転
のぞみ47,down,☆,N700S車両で運転
のぞみ419,down,◆,9月24日・10月1・6・9・13・15・20・22・26・27・29日・11月2・5・9・10・12・17・19・22・26日運転
のぞみ239,down,◆,土曜と9月22～24日・10月1・6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日は運休・但し、10月28日・11月4・11・25日は運転
のぞみ179,down,◆,9月22・24日・10月9・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ179,down,◆,10月1・6・13日運転
のぞみ421,down,◆,10月9・22・29日・11月2・5・10・12・17・19・22・26日運転
ひかり651,down,☆,N700S車両で運転
のぞみ241,down,◆,9月24日・10月9・15・22・29日・11月2・5・12・18・22・25・26日は運休
のぞみ181,down,◆,9月24日・10月9・15・22・29日・11月2・5・12・18・22・25・26日運転
のぞみ423,down,◆,9月24日・10月6・9・29日・11月2・5・10・26日運転
のぞみ425,down,◆,9月21・22・24・28・29日・10月1・4～9・11～13・15・18～20・22・25～27・29日・11月1・2・5・8～10・12～17・19～26・28～30日運転
のぞみ427,down,◆,10月6・9日・11月5・26日運転
のぞみ243,down,◆,9月29日・10月1・6・8・9・13・15・20・22・27日・11月2・4・5・10・12・17・19日は運休
のぞみ185,down,◆,9月29日・10月1・6・8・9・13・15・20・22・27日・11月2・4・5・10・12・17・19日運転
のぞみ429,down,◆,9月20～22・24・27～29日・10月1・3～9・11～13・15・17～20・22～27・29・30日・11月1・2・4～10・12～17・19～30日運転
のぞみ431,down,◆,9月21・22・24・29日・10月1・2・6・9・13・15・19・20・22・27・29日・11月1・2・5・9・10・12・16・17・19・22・24・26日運転
のぞみ245,down,◆,土曜と9月22～24日・10月1・6・8・9・13・15・20・22・27・29日・11月2・4・5・10・12・17・19・22・24～26日は運休・但し、10月21・28日・11月11日は運転
のぞみ187,down,◆,9月24日・10月1・6・8・15・22・27・29日・11月2・4・5・10・12・19・22・25日運転
のぞみ187,down,◆,9月22日・10月9・13・20日・11月17・24・26日運転
のぞみ433,down,◆,9月22日・10月6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ55,down,☆,N700S車両で運転
こだま801,down,◆,9月24日・10月1・8・9・15・22・29日・11月3・5・12・19・23・26日運転
のぞみ247,down,◆,9月24日・10月6・29日・11月2・22・26日は運休
のぞみ189,down,◆,9月24日・10月6・29日・11月2・22・26日運転
のぞみ435,down,◆,9月24日・10月9・13・20・27・29日・11月5・10・17・22・26日運転
のぞみ191,down,◆,10月6日・11月2日運転
のぞみ437,down,◆,10月6・9日・11月2・5・10・17・22・26日運転
のぞみ439,down,◆,9月21・22・24・29日・10月1・5・6・9・11～13・15・19・20・22・26・27・29日・11月1・2・5・8～10・12・14～17・19・21・22・24～26日運転
のぞみ249,down,◆,9月22・24・29日・10月1・6・8・9・13・15・20・22・27・29日・11月2・4・5・10・12・17・19・22・25・26日は運休
のぞみ193,down,◆,9月22・24・29日・10月1・6・8・9・13・15・20・22・27・29日・11月2・4・5・10・12・17・19・22・25・26日運転
のぞみ441,down,◆,9月20～22・24・27～29日・10月1～9・11～13・15・17・19・20・22・23・25～27・29・30日・11月1・2・4～10・12～17・19～22・24～30日運転
のぞみ443,down,◆,9月21・22・24・29日・10月1・6・9・13・15・18～20・22・27・29日・11月1・2・5・9・10・12・16・17・19・21・22・24・26日運転
のぞみ251,down,◆,土曜と9月24日・10月6・8・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日は運休・但し、10月21・28日・11月4・11・25日は運転
のぞみ195,down,◆,9月24日・10月6・8・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ445,down,◆,9月21・22日・10月1・6・9・13・15・20・22・27・29日・11月1・2・5・10・12・17・19・22・26日運転
のぞみ447,down,◆,9月24日・10月9・13・29日・11月10・17・26日運転
のぞみ197,down,◆,9月22日・10月6・20・27日・11月2・5・22日運転
のぞみ449,down,◆,9月21・22・24・29日・10月1・5・6・9・11～13・15・19・20・22・26・27・29日・11月1・2・5・8～10・12・15～17・19・21・22・24・26日運転
のぞみ59,down,☆,N700S車両で運転
のぞみ451,down,◆,10月6・9・13・20・27日・11月2・5・10・17・22・26日運転
のぞみ453,down,◆,9月21・22・24・29日・10月1・6・9・13・15・20・22・27・29日・11月1・2・5・10・12・17・19・22・24・26日運転
のぞみ455,down,◆,9月21・22・24・29日・10月1・6・9・13・15・19・20・22・26・27・29日・11月1・2・5・9・10・12・16・17・19・21・22・24・26日運転
のぞみ457,down,◆,9月22日・10月1・6・9・13・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ459,down,◆,9月20～22・24・27～29日・10月1～6・8～13・15・17～23・25日・11月5・7～10・12～17・19～30日運転
ひかり661,down,☆,N700S車両で運転
こだま805,down,◆,休日運休・但し、9月23日は運転
のぞみ461,down,◆,9月24日・10月6・9・13・20・27・29日・11月2・5・10・17・22・26日運転
のぞみ257,down,☆,N700S車両で運転
のぞみ463,down,◆,10月6日・11月2・17・22・26日運転
のぞみ465,down,◆,9月21・22・24・29日・10月1・2・5・6・8・9・12・13・15・19・20・22・26・27・29日・11月1・2・4・5・8～10・12・16・17・19・21・22・24～26・30日運転
のぞみ467,down,◆,9月21・22・24・29日・10月1・6・9・13・15・19・20・22・27・29日・11月1・2・4・5・10・12・17・19・21・22・24～26日運転
ひかり663,down,☆,N700S車両で運転
のぞみ469,down,◆,9月24日・10月1・6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・26日運転
のぞみ471,down,◆,10月1・6・9・29日・11月2・10・17・19・22・26日運転
ひかり665,down,◆,9月22・24・29日・10月1・6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・24・26日運転
のぞみ473,down,◆,10月6日・11月2・22・26日運転
のぞみ475,down,◆,9月21・22・24・28・29日・10月1・2・5・6・8・9・11～13・15・18～22・25～29日・11月1～5・8～10・12・16・17・19・22～26・29・30日運転
のぞみ477,down,◆,9月21・22・24・29日・10月1・6・8・9・13・15・20・22・27・29日・11月1・2・5・10・12・17・19・21・22・24・26日運転
こだま807,down,☆,N700S車両で運転
のぞみ479,down,◆,10月6日・11月2・22・26日運転
のぞみ481,down,◆,9月21・24・28日・10月1・6・8・9・13・15・20・22・27・29日・11月1・2・4・5・10・12・16・17・19・22・23・25・26日運転
のぞみ483,down,◆,9月20～24・27～30日・10月22・24～30日・11月1～5・8～12・14～26・29・30日運転
ひかり667,down,☆,N700S車両で運転
のぞみ499,down,◆,9月22・24・29日・10月1・6・9・13・15・20・22・27・29日・11月2・5・10・12・17・19・22・24・26日運転
ひかり669,down,☆,N700S車両で運転
こだま802,up,◆☆,土曜・休日運休　N700S車両で運転
こだま804,up,☆,N700S車両で運転
こだま806,up,◆☆,土曜・休日運休　N700S車両で運転
こだま810,up,◆,土曜・休日運休
のぞみ498,up,◆,9月23・25・30日・10月2・7・10・14・16・21・23・28・30日・11月3・6・11・13・18・20・23・25・27日運転
こだま816,up,◆,土曜・休日運休
こだま818,up,◆☆,土曜・休日運休　N700S車両で運転
のぞみ280,up,◆,10月7日・11月7・9～11・18・27日運転
のぞみ204,up,◆,休日運休・但し、9月23日・11月3・23日は運転
のぞみ282,up,◆,10月3・7・10～13・17～19・21・23・24・26・28日・11月3・6～11・14～18・20・25・27日運転
のぞみ286,up,◆,9月20～23・25～30日・10月2～8・10～14・16～21・23～28・30日・11月4・6～25・27～30日運転
のぞみ288,up,◆,9月23日・10月2・6・7・12・19・21・28日・11月3・8・18・23・25日運転
のぞみ290,up,◆,10月7日・11月3・9～11・18日運転
のぞみ292,up,◆,10月7・10～14・17～19・21・23・25～28日・11月3・6～11・14～18・20・23・25・27日運転
のぞみ208,up,◆,休日運休・但し、9月23日・10月1・8・15・22・29日・11月3・23・26日は運転
ひかり638,up,☆,N700S車両で運転
のぞみ294,up,◆,9月20・22・23・25・27・28・30日・10月2～7・10～14・16～21・23～28・30・31日・11月2・3・6～11・13～18・20・22・23・25・27～30日運転
のぞみ296,up,◆,10月7日運転
のぞみ74,up,☆,N700S車両で運転
のぞみ298,up,◆,10月7・21・28日・11月3・18・25日運転
のぞみ212,up,◆,休日と10月7日は運休・但し、9月23日・10月1・8・15・22・29日・11月3・12・19・23・26日は運転
のぞみ108,up,◆,10月7日運転
こだま824,up,◆,9月23・30日・10月7・8・14・21・28日・11月3・4・11・18・23・25日運転
のぞみ300,up,◆,9月22・23・30日・10月2・5～7・12～14・17～21・24・26・28日・11月2・3・8～11・18・23～25日運転
のぞみ302,up,◆,9月23日・10月7・11・12・14・19・21・25～28日・11月3・6～9・11・14～18・20・22・23・25・27・30日運転
のぞみ214,up,◆,休日運休・但し、9月23・24日・10月1・8・9・15・22・29日・11月3・5・12・19・23・26日は運転
のぞみ304,up,◆,10月7・14・21・28日・11月3・10・11・18・23・25日運転
のぞみ306,up,◆,9月20・22・27・28・30日・10月2～6・8・10～13・16～20・23～27・30日運転
のぞみ110,up,◆,9月23日・10月7・14・21・28日・11月3・11・18・23・25日運転
のぞみ308,up,◆,9月21日・10月7日・11月3・23日運転
のぞみ310,up,◆,9月23日・10月7・13・14・21・26・28日・11月2・3・11・18・23～25日運転
のぞみ216,up,◆,9月20～25・27日～10月8・10日～11月4・6～30日運転
のぞみ312,up,◆,9月20・23・26・30日・10月2・5～7・17・18・21・28日・11月3・18日運転
のぞみ314,up,◆,10月7・14・17・18・20・21・23～28日・11月3・8・9・18・23・25・30日運転
のぞみ4,up,☆,N700S車両で運転
のぞみ316,up,◆,9月23・30日・10月7・12・14・19・21・28・30日・11月3・9～11・14・16～18・22・23・25・27日運転
のぞみ218,up,◆,休日と9月23日・10月7・8・14・17・18・21・24・25・28日・11月3・6～9・11・13～18・20・21・23・25日は運休・但し、10月1・9・15・22・29日・11月5・12・19・26日は運転
のぞみ114,up,◆,9月23日・10月7・8・14・17・18・21・24・25・28日・11月3・6～9・11・13～18・20・21・23・25日運転
ひかり644,up,☆,N700S車両で運転
のぞみ318,up,◆,9月22・23・27・28・30日・10月2～8・10～14・16・19～21・25～28・31日～11月4・6～11・13～18・20～23・25～30日運転
のぞみ84,up,◆,9月20日～11月30日は運休
のぞみ84,up,◆,9月20日～11月30日運転
のぞみ320,up,◆,10月7日・11月3・23・25日運転
のぞみ322,up,◆,9月22・23・30日・10月2・5～7・9・13・14・21・23・26・28日・11月2・3・5～7・11・18・20・22～26日運転
ひかり670,up,◆,9月20日～11月30日は運休
ひかり502,up,◆,9月20日～11月30日運転
のぞみ324,up,◆,9月23日・10月3・7・10・11・16～18・24日・11月3・18日運転
のぞみ326,up,◆,10月7・14・21・28日・11月3・11・18・23・25日運転
のぞみ328,up,◆,10月7・28日・11月3・23・25日運転
のぞみ220,up,◆,休日と9月23日・10月7・8・11・21・28日・11月3・4・7・11・17・18・23・25日は運休・但し、10月9・15・29日・11月5・12・19・26日は運転
のぞみ116,up,◆,11月17日運転
のぞみ116,up,◆,9月23日・10月7・8・11・21・28日・11月3・4・7・11・18・23・25日運転
ひかり646,up,☆,N700S車両で運転
のぞみ330,up,◆,9月23・30日～10月2・6・7・12・14・19～21・25～28日・11月2・3・8～11・13～18・22・23・25・27・30日運転
のぞみ332,up,◆,10月7日・11月3日運転
のぞみ10,up,☆,N700S車両で運転
のぞみ336,up,◆,9月24・25・29日・10月1・2・4・5・9日・11月1・4・5・19・26・29・30日運転
のぞみ120,up,◆,9月22・23・30日・10月6～8・10・12～17・19・21～24・26～31日・11月2・3・6・8～18・20～23・25・27・28日運転
のぞみ338,up,◆,10月2・3・7・9・11・17・24・28日・11月3・5・7・12・15～18・22～26日運転
のぞみ340,up,◆,9月30日・10月6・8・9・27・29日・11月2・5・10・26日運転
のぞみ122,up,◆,9月23日・10月7・14・18・20・21・25・28日・11月3・4・11・18・19・23・25日運転
のぞみ14,up,☆,N700S車両で運転
のぞみ344,up,◆,10月7・9日・11月3・5日運転
のぞみ222,up,◆,10月7・28日・11月3・18・23・25日は運休
のぞみ124,up,◆,10月7・28日・11月3・18・23・25日運転
のぞみ346,up,◆,9月23・30日・10月7・9・14・21・28日・11月3・5・11・18・23・25・26日運転
のぞみ348,up,◆,10月7日・11月3日運転
のぞみ350,up,◆,10月9日・11月5日運転
のぞみ126,up,◆,10月7日・11月3・23日運転
のぞみ352,up,◆,9月22・24・25・29・30日・10月4・9・11～13・15・19・22・30日・11月1・5・8・24・26・29・30日運転
のぞみ128,up,◆,9月23日・10月6～8・10・14・16・20・21・23・25～29日・11月2～4・6・9～11・16～23・25・27日運転
のぞみ354,up,◆,10月5・6・9・21・26日・11月5・12・16・25・26日運転
のぞみ356,up,◆,9月24・30日・10月9・13・27～29日・11月2・10・17・19・22・26日運転
のぞみ130,up,◆,10月7・17・24日・11月3・7・12～14・18・23・28日運転
のぞみ130,up,◆,9月23日・10月14・18・21日・11月5・11・15・25日運転
のぞみ358,up,◆,10月9日・11月5日運転
のぞみ360,up,◆,10月9日・11月5・26日運転
のぞみ362,up,◆,9月26日・10月6・7・9・28・29日・11月3・5・25・26日運転
のぞみ364,up,◆,10月9日・11月5・26日運転
のぞみ366,up,◆,10月9日・11月5・26日運転
のぞみ134,up,◆,10月7日・11月3日運転
のぞみ368,up,◆,9月21・22・24・25・27日～10月2・4・6・8・10～17・19・22～25・27・30日～11月2・4・6・9・10・12・14～17・19～21・24・27～30日運転
のぞみ136,up,◆,9月23日・10月7・9・21・28・29日・11月3・5・11・18・22・23・25・26日運転
こだま726,up,☆,N700S車両で運転
のぞみ370,up,◆,9月20・22・23・26・29・30日・10月3・5・9・18・21・26・29日・11月5・7・8・12・13・17～19・22・25・26日運転
のぞみ372,up,◆,9月24日・10月1・6・9・13～15・22・26～29日・11月2・5・10～12・16・19・24～27日運転
のぞみ138,up,◆,11月3日運転
のぞみ138,up,◆,10月7日・11月23日運転
のぞみ374,up,◆,10月7・9日・11月5・26日運転
のぞみ376,up,◆,10月9・20・27日・11月5・26日運転
のぞみ226,up,◆,11月3日は運休
のぞみ140,up,◆,11月3日運転
のぞみ378,up,◆,9月24日・10月6・9・13・20・22・28・29日・11月2・5・10・12・17・19・22・23・25・26・28日運転
のぞみ380,up,◆,10月9日・11月5・26日運転
のぞみ382,up,◆,10月9日・11月5・10・17・19・26日運転
のぞみ384,up,◆,9月22～25・27・29日～10月5・10～17・19～27・30日・11月1・2・4・6～17・19～22・24・25・27～30日運転
のぞみ144,up,◆,10月6・7・9・28・29日・11月3・5・18・23・26日運転
のぞみ386,up,◆,9月20～22・24・26・28日～10月1・7～9・14・15・17・18・21～23・25・27～29・31日・11月2～5・7・9・11・12・15・16・18・19・21・22・25・26・28～30日運転
のぞみ388,up,◆,9月21～25・28・29日・10月1・5・6・8・10・13・15・22・24・26・27・29・30日・11月2・5・6・8・10・12～14・17・19・20・22～25・27日運転
