期間,20230801,20230831
回送981,down,◆,8月1日運転
回送983,down,◆,8月7・18・[22]・[23]・[24]・28日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,8月5・7・11・12・19・21・26・28日運転
のぞみ281,down,◆,8月6日運転
のぞみ101,down,◆,8月9～14・17～20日運転
のぞみ283,down,◆,8月8～12・17日運転
ひかり535,down,◆,8月1～31日は運休
ひかり535,down,◆,8月1～31日運転
のぞみ103,down,◆,8月4・5・8～21・26日運転
のぞみ285,down,◆,8月2・3・7・22～25・28・29日運転
のぞみ201,down,◆,休日と8月9～20・26日は運休
のぞみ105,down,◆,8月9～20・26日運転
のぞみ287,down,◆,8月[5]・9～12日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,8月9～13日運転
のぞみ203,down,◆,8月3～5・9～20日は運休
のぞみ107,down,◆,8月3～5・9～20日運転
ひかり671,down,◆,8月1～31日は運休
ひかり501,down,◆,8月1～31日運転
のぞみ291,down,◆,8月1～14・17～19・21～26・28・29・31日運転
のぞみ293,down,◆,8月4・5・7～13・[21]・26日運転
のぞみ205,down,◆,休日と8月2・4～8・10～26・28・29日は運休
のぞみ109,down,◆,8月24・26日運転
のぞみ109,down,◆,8月2・4～8・10～23・25・28・29日運転
のぞみ295,down,◆,8月9・[10]・11・12日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,8月4・5・9～20・26日は運休
のぞみ111,down,◆,8月4・5・9～20・26日運転
のぞみ297,down,◆,8月[3]・[4]・[5]・[7]・[24]日運転
のぞみ113,down,◆,8月10～19日運転
のぞみ299,down,◆,8月9～12・25日運転
のぞみ301,down,◆,8月2～5・7～14・[15]・[16]・[17]・[18]・[19]・20～24・26・28日運転
のぞみ303,down,◆,8月1～13・17～19・21～26・28～31日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,8月3～14・[17]・[18]・[19]・21・[22]・[23]・24～26・[28]日運転
のぞみ209,down,◆,休日と8月3～13・15～26日は運休・但し、8月27日は運転
のぞみ115,down,◆,8月6・26日運転
のぞみ115,down,◆,8月3～5・7～13・15～25日運転
のぞみ307,down,◆,8月4・5・7・9～13・26日運転
のぞみ211,down,◆,休日と8月4・5・7～20日は運休・但し、8月6・27日は運転
のぞみ117,down,◆,8月14日運転
のぞみ117,down,◆,8月4・5・7～13・15～20日運転
のぞみ309,down,◆,8月5・[8]・9・10・[26]日運転
のぞみ119,down,◆,8月11～16日運転
のぞみ311,down,◆,8月2～14・17～19・21～26・28・31日運転
のぞみ313,down,◆,8月[5]・10～12・[15]・[16]・[20]日運転
のぞみ213,down,◆,8月3・6・9～18・21・25・26日は運休
