期間,20220901,20220930
のぞみ121,down,◆,9月17・23日運転
のぞみ273,down,◆,9月17・23日運転
のぞみ275,down,◆,9月3・10・15・16・22日運転
のぞみ201,down,◆,休日運休・但し、9月18・23日は運転
のぞみ277,down,◆,9月16～18・22～24日運転
のぞみ279,down,◆,9月17・23日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,9月17・18・23日運転
のぞみ283,down,◆,9月3・7～10・12～17・20～24・26日運転
のぞみ205,down,◆,休日と9月9・10・17・23・24・30日は運休・但し、9月4・11・18・19・25日は運転
のぞみ127,down,◆,9月9・10・17・23・24・30日運転
のぞみ285,down,◆,9月17・23日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,9月16・17・22・23日運転
のぞみ289,down,◆,9月16・17・22・23日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,9月17・23日運転
のぞみ295,down,◆,9月3・8～10・15～17・22～24日運転
のぞみ209,down,◆,休日と9月17・23日は運休・但し、9月4・11・18・19・25日は運転
のぞみ131,down,◆,9月17・23日運転
のぞみ297,down,◆,9月9・16・17・22・23日運転
のぞみ211,down,◆,休日運休・但し、9月18・23日は運転
のぞみ133,down,◆,9月17・23日運転
のぞみ301,down,◆,9月16・17・22・23日運転
のぞみ303,down,◆,9月17日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,9月17・23日運転
のぞみ307,down,◆,9月2・3・8～10・15～17・22～24日運転
のぞみ215,down,◆,休日と9月17・23日は運休・但し、9月18日は運転
のぞみ137,down,◆,9月17・23日運転
のぞみ309,down,◆,9月16・17・22・23日運転
のぞみ311,down,◆,9月16・19・22日運転
のぞみ313,down,◆,9月17・23日運転
のぞみ315,down,◆,9月17・23日運転
のぞみ317,down,◆,9月17・23日運転
のぞみ319,down,◆,9月16・17・22・23日運転
のぞみ221,down,◆,休日と9月17・23日は運休・但し、9月18・19日は運転
のぞみ143,down,◆,9月17・23日運転
のぞみ321,down,◆,9月17・23日運転
のぞみ323,down,◆,9月16・17・22・23日運転
のぞみ223,down,◆,9月2・3・9・10・15・24日運転
のぞみ145,down,◆,9月25日運転
のぞみ325,down,◆,9月17・22・23日運転
のぞみ327,down,◆,9月17・23日運転
のぞみ329,down,◆,9月23日運転
のぞみ331,down,◆,9月3・9・10・16～18・22～24日運転
のぞみ333,down,◆,9月17日運転
のぞみ335,down,◆,9月23日運転
のぞみ337,down,◆,9月16・17・22・23日運転
のぞみ339,down,◆,9月23日運転
のぞみ151,down,◆,9月19・25日運転
のぞみ341,down,◆,9月17・23日運転
のぞみ343,down,◆,9月17日運転
のぞみ347,down,◆,9月9・17・19・22～25日運転
のぞみ349,down,◆,9月16日運転
のぞみ351,down,◆,9月23日運転
のぞみ353,down,◆,9月17・23日運転
のぞみ355,down,◆,9月16・22日運転
のぞみ357,down,◆,9月17・19・25日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,9月9・17・22～24日運転
のぞみ365,down,◆,9月19・25日運転
のぞみ367,down,◆,9月23日運転
のぞみ369,down,◆,9月16日運転
のぞみ371,down,◆,9月17・22・23日運転
のぞみ163,down,◆,9月19・25日運転
のぞみ373,down,◆,9月16・19・25日運転
のぞみ165,down,◆,9月19・25日運転
のぞみ379,down,◆,9月2・9・16～19・22～25・30日運転
のぞみ381,down,◆,9月4・11日運転
のぞみ383,down,◆,9月19・25日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,9月19・25日運転
のぞみ387,down,◆,9月17・23日運転
のぞみ169,down,◆,9月19・25日運転
のぞみ389,down,◆,9月16・22日運転
のぞみ391,down,◆,9月19・25日運転
のぞみ171,down,◆,9月19・25日運転
のぞみ395,down,◆,9月16・19・22・25日運転
のぞみ397,down,◆,9月2・4・9・16～18・22～24・30日運転
のぞみ173,down,◆,9月11・19・25日運転
のぞみ399,down,◆,9月19・25日運転
のぞみ175,down,◆,9月22日運転
のぞみ403,down,◆,9月16・19・25日運転
のぞみ405,down,◆,9月16・19・25日運転
のぞみ177,down,◆,9月19・25日運転
