期間,20230110,20230131
回送983,down,◆,1月18・28日運転
のぞみ275,down,◆,1月[13]・[14]・[19]・[20]・[21]・[27]・[28]日運転
のぞみ201,down,◆,休日運休
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,1月[14]・[21]・[28]日運転
のぞみ283,down,◆,1月[13]・[20]・[27]日運転
のぞみ127,down,◆,1月14・21・27・28日運転
のぞみ205,down,◆,休日と1月14・21・27・28日は運休
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,1月[11]・[12]・[14]・[17]・[18]・[19]・[21]・[24]・[25]・[26]・[28]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,1月[14]・[21]・[28]日運転
のぞみ209,down,◆,休日運休・但し、1月[15]・[22]・[29]日は運転
のぞみ211,down,◆,休日運休・但し、1月[15]・[22]・[29]日は運転
のぞみ301,down,◆,1月[11]・[12]・[13]・14・[17]・[18]・19・[20]・21・[24]・[25]・26・[27]・28日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ305,down,◆,1月[14]・[21]・[28]日運転
のぞみ307,down,◆,1月[11]・[12]・[13]・14・[17]・[18]・[19]・[20]・21・[24]・[25]・26・[27]・28日運転
のぞみ215,down,◆,休日運休・但し、1月[15]・[22]・[29]日は運転
のぞみ319,down,◆,1月14・21・28日運転
のぞみ221,down,◆,休日運休
のぞみ323,down,◆,1月[18]・[25]日運転
のぞみ223,down,◆,1月13・14・20・21・27・28日運転
のぞみ145,down,◆,1月19日運転
のぞみ331,down,◆,1月13・14・[19]・20・21・27・28日運転
のぞみ337,down,◆,1月[14]・[21]・[28]日運転
のぞみ347,down,◆,1月[13]・14・[19]・20・21・27・28日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,1月[13]・[15]・[19]・20・[22]・27・[29]日運転
のぞみ379,down,◆,1月13・15・[19]・20・27日運転
のぞみ167,down,◆,1月[22]・[29]日運転
こだま733,down,☆,N700S車両で運転
のぞみ387,down,◆,1月[13]・[15]・20・22・[27]・29日運転
のぞみ173,down,◆,1月[13]・[15]・[20]・22・[27]・29日運転
のぞみ397,down,◆,1月[19]日運転
のぞみ403,down,◆,1月13・15・20・22・27・29日運転
のぞみ407,down,◆,1月13・27日運転
のぞみ409,down,◆,1月15・[20]・22・29日運転
のぞみ179,down,◆,1月13・15・20・22・27・29日運転
