期間,20220601,20220630
回送983,down,◆,6月6・15・27日運転
回送981,down,◆,6月1日運転
のぞみ273,down,◆,6月4日運転
のぞみ275,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ201,down,◆,休日運休・但し、6月5・12・19・26日は運転
のぞみ277,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ279,down,◆,6月4・11・18・25日運転
こだま703,down,☆,N700S車両で運転
のぞみ283,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ127,down,◆,6月4・11・18・25日運転
のぞみ205,down,◆,休日と6月4・11・18・25日は運休
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ295,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ131,down,◆,6月3・10・17日運転
のぞみ209,down,◆,休日と6月3・10・17日は運休・但し、6月5・12・19・26日は運転
のぞみ297,down,◆,6月4日運転
のぞみ211,down,◆,休日運休
のぞみ301,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ305,down,◆,6月4日運転
のぞみ307,down,◆,6月3・10・11・17・18・24・25日運転
のぞみ215,down,◆,休日運休
のぞみ313,down,◆,6月3・4・11・18・24・25日運転
のぞみ315,down,◆,6月4日運転
のぞみ221,down,◆,休日運休・但し、6月5・12・19・26日は運転
のぞみ321,down,◆,6月4・11・18・24・25日運転
のぞみ223,down,◆,6月3・4・10・11・17・18・24・25日運転
のぞみ331,down,◆,6月3～5・10～12・17～19・24～26日運転
のぞみ337,down,◆,6月4・11・18・25日運転
のぞみ347,down,◆,6月3～5・10～12・17～19・24～26日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,6月3～5・10～12・17～19・24～26日運転
のぞみ371,down,◆,6月5・12・19・26日運転
のぞみ379,down,◆,6月3～5・11・12・18・19・25・26日運転
のぞみ383,down,◆,6月5・10・12・17・19・24・26日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,6月3日運転
のぞみ387,down,◆,6月5・10・12・17・19・24・26日運転
