期間,20220701,20220731
のぞみ121,down,◆,7月16日運転
のぞみ273,down,◆,7月9・15・16・23・29・30日運転
のぞみ123,down,◆,7月16日運転
のぞみ275,down,◆,7月1・2・[4]・7～9・[11]・14・15・17・[19]・21～23・25～31日運転
のぞみ201,down,◆,休日運休・但し、7月17・18・24・31日は運転
のぞみ277,down,◆,7月2・8・9・15～17・22・23・26～31日運転
のぞみ279,down,◆,7月2・9・15・16・23・30日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,7月[9]・16日運転
のぞみ281,down,◆,7月17日運転
のぞみ283,down,◆,7月1・2・[4]・[5]・[6]・7～9・[11]・[12]・[13]・14～16・[19]・[20]・21～23・25～30日運転
のぞみ127,down,◆,7月16・17・23・29・30日運転
のぞみ205,down,◆,休日と7月16・17・23・29・30日は運休・但し、7月18・31日は運転
のぞみ285,down,◆,7月16・[23]日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,7月8・9・14～16・21～23・26～30日運転
のぞみ289,down,◆,7月15・16・30日運転
のぞみ291,down,◆,7月16・[30]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,7月16・[17]・[23]日運転
のぞみ295,down,◆,7月1・2・[4]・[5]・[6]・7～9・[11]・[12]・[13]・14～16・[19]・[20]・21～23・25～30日運転
のぞみ131,down,◆,7月16日運転
のぞみ131,down,◆,7月30日運転
のぞみ209,down,◆,休日と7月16・30日は運休・但し、7月17・18・24・31日は運転
のぞみ297,down,◆,7月[2]・8・[9]・15・16・22・[30]日運転
のぞみ211,down,◆,休日運休・但し、7月17日は運転
のぞみ133,down,◆,7月16日運転
のぞみ299,down,◆,7月[2]・[3]・[10]・29・30・[31]日運転
のぞみ301,down,◆,7月9・14～17・21・23・26～28日運転
のぞみ303,down,◆,7月15・16・29・30日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,7月16・[30]日運転
のぞみ307,down,◆,7月1・2・[4]・[5]・[6]・7～9・[11]・[12]・[13]・14～16・[17]・[19]・[20]・21～23・25～31日運転
のぞみ137,down,◆,7月16日運転
のぞみ215,down,◆,休日と7月16日は運休・但し、7月17・[24]日は運転
のぞみ309,down,◆,7月[2]・[9]・15・16・[23]・[31]日運転
のぞみ139,down,◆,7月16日運転
のぞみ311,down,◆,7月[2]・15・18・29・30日運転
のぞみ313,down,◆,7月8・9・14・16・17・21～23・26～28日運転
のぞみ315,down,◆,7月15・16・29・30日運転
のぞみ317,down,◆,7月16・[31]日運転
のぞみ319,down,◆,7月2・[3]・9・[10]・15・16・[17]・22・23・26～30日運転
のぞみ143,down,◆,7月16日運転
のぞみ221,down,◆,休日と7月16日は運休・但し、7月17・18・24・31日は運転
のぞみ321,down,◆,7月[9]・16・[23]・[30]日運転
のぞみ323,down,◆,7月9・15・16・23・29・30日運転
のぞみ223,down,◆,7月1・2・7・8・14・17・[20]・21・22・[24]・25～28・31日運転
のぞみ145,down,◆,7月16・18日運転
のぞみ325,down,◆,7月9・15・16・23・29・30日運転
のぞみ327,down,◆,7月16・30日運転
のぞみ329,down,◆,7月16・[23]・[30]日運転
のぞみ331,down,◆,7月1・2・[4]・[5]・[6]・7～9・[11]・[12]・[13]・14～16・[19]・[20]・21～31日運転
のぞみ149,down,◆,7月18日運転
のぞみ333,down,◆,7月16・29・30日運転
のぞみ335,down,◆,7月9・15～17・23・[31]日運転
のぞみ337,down,◆,7月2・9・15・16・22～24・26～31日運転
のぞみ151,down,◆,7月18日運転
のぞみ339,down,◆,7月16・[17]日運転
のぞみ341,down,◆,7月16・30日運転
のぞみ343,down,◆,7月16日運転
のぞみ347,down,◆,7月1・2・[3]・8・9・[10]・[14]・15～18・[20]・[21]・22～31日運転
のぞみ349,down,◆,7月30日運転
のぞみ351,down,◆,7月15・16・29日運転
のぞみ353,down,◆,7月16日運転
のぞみ157,down,◆,7月18日運転
のぞみ355,down,◆,7月9・15・22・23・[24]・29～31日運転
のぞみ357,down,◆,7月16・18日運転
のぞみ359,down,◆,7月16日運転
こだま727,down,☆,N700S車両で運転
のぞみ363,down,◆,7月1～3・8～10・15～18・22～24・26～31日運転
のぞみ365,down,◆,7月[14]・18・[20]・[21]・[25]日運転
のぞみ367,down,◆,7月16日運転
のぞみ369,down,◆,7月15日運転
のぞみ163,down,◆,7月18日運転
のぞみ371,down,◆,7月16・22・[24]・29～31日運転
のぞみ373,down,◆,7月15・18日運転
のぞみ165,down,◆,7月18日運転
のぞみ377,down,◆,7月[24]日運転
のぞみ379,down,◆,7月1～3・8～10・[14]・15～18・[20]・[21]・22・23・[25]・26～31日運転
のぞみ167,down,◆,7月[10]・31日運転
のぞみ381,down,◆,7月15・18・24日運転
のぞみ383,down,◆,7月[3]・16・18日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,7月18日運転
のぞみ169,down,◆,7月15・18日運転
のぞみ387,down,◆,7月3・8・10・16・22・24・29・[30]・31日運転
のぞみ389,down,◆,7月15日運転
のぞみ391,down,◆,7月18日運転
のぞみ171,down,◆,7月18日運転
のぞみ395,down,◆,7月3・[5]・[6]・[7]・10・[12]・[13]・[14]・15・18・[20]・[21]・[25]・31日運転
のぞみ173,down,◆,7月18・24・31日運転
のぞみ397,down,◆,7月1・8・15～17・22・26～29日運転
のぞみ399,down,◆,7月3・10・18日運転
のぞみ175,down,◆,7月[8]・[10]・15・18・[24]・[31]日運転
のぞみ403,down,◆,7月3・8・10・15～18・22・24・29・31日運転
のぞみ405,down,◆,7月[3]・15・18日運転
のぞみ177,down,◆,7月18日運転
のぞみ177,down,◆,7月15日運転
のぞみ407,down,◆,7月8日運転
のぞみ409,down,◆,7月[7]・[14]・15・18・[21]・22・29・31日運転
のぞみ179,down,◆,7月17・18・22・24・29・31日運転
のぞみ239,down,◆,土曜と7月17・18・22・24・29・31日は運休・但し、7月16日は運転
のぞみ411,down,◆,7月3・10・15・18・24日運転
のぞみ181,down,◆,7月15日運転
のぞみ181,down,◆,7月[8]・18日運転
のぞみ413,down,◆,7月31日運転
のぞみ415,down,◆,7月1・[3]・8・[10]・15・18・26～28・[31]日運転
のぞみ417,down,◆,7月3・10・15・17・18・22・24・29・31日運転
