期間,20211201,20220110
のぞみ121,down,◆,12月29～31日・1月3・4日運転
のぞみ273,down,◆,12月4・11・18・29・30日運転
のぞみ275,down,◆,12月3・10・17・27・28日運転
のぞみ123,down,◆,12月29～31日・1月2～4日運転
のぞみ201,down,◆,休日運休・但し、12月5・12・19・26・30・31日・1月1・9日は運転
のぞみ277,down,◆,12月4・11・18・25・29～31日・1月8日運転
のぞみ279,down,◆,12月4・11・18・29～31日・1月1・8日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,12月29～31日・1月2～4日運転
のぞみ283,down,◆,12月3・4・10・11・17・18・25・27・29～31日・1月8日運転
のぞみ205,down,◆,休日と12月3・4・10・11・29～31日、1月2～4・8日は運休・但し、12月26日・1月1日は運転
のぞみ127,down,◆,12月3・4・10・11・29～31日・1月2～4・8日運転
のぞみ285,down,◆,12月29～31日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,12月4・11・18・28～31日運転
のぞみ289,down,◆,12月29～31日運転
のぞみ291,down,◆,12月29・30日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,12月29～31日運転
のぞみ295,down,◆,12月3～5・10～12・17～19・25～31日・1月1・8日運転
のぞみ209,down,◆,休日と12月28～31日、1月8日は運休・但し、12月26日・1月1～3・9日は運転
のぞみ131,down,◆,12月28・29・30・31日・1月8日運転
のぞみ297,down,◆,12月4・11・28～31日運転
のぞみ211,down,◆,休日運休・但し、12月30・31日・1月1～3日は運転
のぞみ133,down,◆,12月25・26・29～31日・1月2～5日運転
のぞみ301,down,◆,12月4・11・18・28～31日・1月8日運転
のぞみ303,down,◆,12月29・30日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,12月29～31日・1月2～4日運転
のぞみ307,down,◆,12月3・4・10・11・17・18・25～31日・1月8日運転
のぞみ215,down,◆,休日と12月28～31日、1月2～4・8日は運休・但し、12月26日・1月1日は運転
のぞみ137,down,◆,12月28～31日・1月2・3・4・8日運転
のぞみ309,down,◆,12月4・11・25・28～31日運転
のぞみ139,down,◆,12月25～31日・1月1～5日運転
のぞみ313,down,◆,12月4・11・18・28～31日・1月8日運転
のぞみ315,down,◆,12月29～31日運転
のぞみ141,down,◆,12月29～31日運転
のぞみ319,down,◆,12月3～5・10～12・17～19・25～31日・1月2～4・8日運転
のぞみ221,down,◆,休日と12月28～31日、1月2～4日は運休・但し、12月26日・1月1・9日は運転
のぞみ143,down,◆,12月28～31日・1月2・3・4日運転
のぞみ321,down,◆,12月25～31日・1月2・8日運転
のぞみ323,down,◆,12月4・11・18・29～31日運転
のぞみ223,down,◆,12月24日・1月7・8日運転
のぞみ145,down,◆,12月25～31日・1月1～5日運転
のぞみ325,down,◆,12月28～31日運転
のぞみ327,down,◆,12月25・28～31日・1月1日運転
のぞみ147,down,◆,12月29～31日・1月2・3・4日運転
のぞみ331,down,◆,12月3～5・10～12・17～19・24～31日・1月1・4～10日運転
のぞみ333,down,◆,12月25日運転
のぞみ149,down,◆,12月28～31日運転
のぞみ335,down,◆,12月25～31日・1月1・8日運転
のぞみ337,down,◆,12月4・11・18・24・28～31日・1月7・8日運転
のぞみ151,down,◆,12月25～31日・1月1～5日運転
のぞみ341,down,◆,12月29～31日運転
のぞみ343,down,◆,12月25～31日・1月1～3・8日運転
のぞみ153,down,◆,12月29～31日・1月3・4日運転
のぞみ347,down,◆,12月3～5・10～12・17～19・24～31日・1月1・6～10日運転
のぞみ155,down,◆,12月28～31日・1月2～5日運転
のぞみ351,down,◆,12月25～31日・1月1・2日運転
のぞみ353,down,◆,12月28～31日運転
のぞみ355,down,◆,12月24～26日・1月8日運転
のぞみ157,down,◆,12月27～31日・1月1～5日運転
のぞみ357,down,◆,12月25・27～31日・1月1・3日運転
のぞみ359,down,◆,12月29～31日運転
こだま727,down,☆,N700S車両で運転
のぞみ361,down,◆,12月29～31日運転
のぞみ159,down,◆,1月3・4日運転
のぞみ363,down,◆,12月3～5・10～12・17～19・24～31日・1月1・6～10日運転
のぞみ161,down,◆,12月28～31日・1月2～5日運転
のぞみ367,down,◆,12月25・27～31日・1月1日運転
のぞみ369,down,◆,12月28～31日・1月3日運転
のぞみ371,down,◆,12月24～26日・1月1・8・10日運転
のぞみ163,down,◆,12月27～31日・1月2～5日運転
のぞみ373,down,◆,12月28～31日・1月1・3日運転
のぞみ375,down,◆,12月29～31日・1月2日運転
のぞみ377,down,◆,12月29～31日運転
のぞみ165,down,◆,1月2～4日運転
のぞみ379,down,◆,12月4・5・11・12・18・19・28～31日・1月3・4日運転
のぞみ381,down,◆,12月3・10・17・24～27日・1月1・3・6～9日運転
のぞみ167,down,◆,12月28・29・30・31日・1月5・10日運転
のぞみ383,down,◆,12月24・28～31日・1月1日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,12月29～31日・1月3日運転
のぞみ387,down,◆,12月3・5・10・12・17・19・24～27・29～31日・1月1・8・10日運転
のぞみ169,down,◆,12月28日・1月2～5日運転
のぞみ389,down,◆,12月28～31日・1月2・3・10日運転
のぞみ391,down,◆,12月29～31日運転
のぞみ393,down,◆,12月29～31日運転
のぞみ395,down,◆,12月5・12・19・28～31日・1月3・4日運転
のぞみ397,down,◆,12月17・19・24～27・31日・1月1・7・8日運転
のぞみ173,down,◆,12月3・5・10・12・28～30日・1月2～5・10日運転
のぞみ399,down,◆,12月28～31日運転
のぞみ401,down,◆,12月29～31日運転
のぞみ175,down,◆,1月2～4日運転
のぞみ403,down,◆,12月3・5・10・12・17・19・24・28～31日・1月2・3・10日運転
のぞみ405,down,◆,12月29～31日・1月3日運転
のぞみ407,down,◆,12月29・30日運転
のぞみ177,down,◆,1月2～4日運転
のぞみ409,down,◆,12月3・5・10・12・17・19・28～31日運転
のぞみ239,down,◆,土曜と12月3・5・10・12・28～30日、1月5・10日は運休
のぞみ179,down,◆,12月3・5・10・12・28～30日・1月5・10日運転
のぞみ411,down,◆,12月28～31日・1月10日運転
のぞみ413,down,◆,12月5・12・19・29～31日運転
のぞみ181,down,◆,1月2～4日運転
のぞみ415,down,◆,12月3・5・10・12・17・19・28～31日運転
のぞみ417,down,◆,12月24・29～31日・1月3・7・10日運転
のぞみ421,down,◆,12月3・5・10・12・17・19・24・28～31日・1月7・10日運転
のぞみ245,down,◆,土曜と12月3・5・10・12・28日は運休
のぞみ185,down,◆,12月3・5・10・12・28日運転
のぞみ423,down,◆,12月3・10・17・29・30日運転
こだま801,down,◆,12月5・12・19・26・30・31日・1月1～3・9・10日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ425,down,◆,12月24・31日・1月7・10日運転
のぞみ187,down,◆,12月29・30日・1月2～4日運転
のぞみ427,down,◆,12月3・5・10・12・17・19・28～30日・1月3・4日運転
のぞみ429,down,◆,12月3・5・10・12・17・19・28～31日・1月7日運転
のぞみ431,down,◆,12月3・5・10・12・17・19・24・28～30日・1月7日運転
のぞみ433,down,◆,12月3・10日運転
のぞみ249,down,◆,土曜運休・但し、1月8日は運転
のぞみ435,down,◆,12月3・10・17・24・28～30日・1月7日運転
のぞみ437,down,◆,12月3・10・17・28・30日運転
のぞみ439,down,◆,12月3・5・10・12・17・19・24・28～31日・1月3・4・7・10日運転
のぞみ441,down,◆,12月3・10・17・28～30日・1月7日運転
のぞみ253,down,☆,N700S車両で運転
のぞみ443,down,◆,12月3・5・10・12・17・19・24・28～30日・1月7日運転
のぞみ447,down,◆,12月3・10・17・28～30日・1月7日運転
こだま805,down,◆,休日運休
のぞみ449,down,◆,12月3・10・17・28・29日運転
のぞみ451,down,◆,12月3・5・10・12・17・19・24・27～30日・1月3・4・7・10日運転
のぞみ453,down,◆,12月3・5・10・12・17・19・24・28～30日・1月7日運転
のぞみ455,down,◆,12月3・10・28日運転
のぞみ257,down,☆,N700S車両で運転
のぞみ457,down,◆,12月3・5・10・12・17・19・24・28～30日・1月7日運転
のぞみ461,down,◆,12月3・5・10・12・17・19・28・29日運転
ひかり665,down,◆,12月5・12・19・26日・1月3・10日運転
のぞみ465,down,◆,12月3～5・10～12・18・19・24・26～30日・1月3・7・10日運転
のぞみ467,down,◆,12月5・12・19・28日運転
のぞみ469,down,◆,12月3・10・17・28日運転
のぞみ471,down,◆,12月4・5・11・12・18・19・24・28・29日・1月7日運転
のぞみ473,down,◆,12月3～5・10～12・17～19・24・26・28～30日・1月3・7日運転
のぞみ71,down,◆,12月3・5・10・12・17・19・24・26日・1月7・10日運転
こだま802,up,◆,土曜・休日運休
こだま806,up,◆,土曜・休日運休
こだま810,up,◆,土曜・休日運休
のぞみ70,up,◆,12月4・6・11・13・18・20・25・27日・1月4・8日運転
こだま816,up,◆,土曜・休日運休
こだま818,up,◆,土曜・休日運休
のぞみ204,up,☆,N700S車両で運転
のぞみ270,up,◆,12月3・4・10・11・17・18・24・27日・1月3～5日運転
のぞみ272,up,◆,1月5日運転
のぞみ206,up,◆,休日運休・但し、12月26・30日・1月2・3日は運転
のぞみ274,up,◆,12月3・4・10・11・17・18・24日・1月3・4日運転
のぞみ278,up,◆,12月3・10・17日・1月3・4日運転
のぞみ280,up,◆,1月3日運転
のぞみ208,up,◆,休日運休・但し、1月2・3日は運転
のぞみ282,up,◆,1月3日運転
のぞみ286,up,◆,1月2～4日運転
のぞみ210,up,☆,N700S車両で運転
のぞみ212,up,◆,休日運休・但し、12月26・30・31日・1月2・3日は運転
こだま824,up,◆,12月4・11・18・25・30・31日・1月1・2・8・9日運転
のぞみ288,up,◆,12月3・4・10・11・17・18・25・29・30日・1月2～4・8日運転
のぞみ290,up,◆,12月4・11・18日・1月3・4日運転
のぞみ292,up,◆,1月4日運転
のぞみ214,up,◆,休日運休・但し、12月26・30日・1月2・3日は運転
のぞみ296,up,◆,1月3・4日運転
のぞみ298,up,◆,12月4・11・18・25・29～31日・1月2～4・8日運転
のぞみ300,up,◆,12月30日・1月2・3日運転
のぞみ302,up,◆,1月4日運転
のぞみ304,up,◆,12月3・4・10・11・17・18・24・25・29・30日・1月2～4・8日運転
のぞみ218,up,◆,休日と12月29～31日、1月8日は運休・但し、12月26日・1月2・3日は運転
のぞみ122,up,◆,12月29～31日・1月8日運転
のぞみ306,up,◆,1月2～4日運転
のぞみ308,up,◆,1月3・4日運転
のぞみ310,up,◆,12月4・11・18・25・29日・1月2～4日運転
のぞみ312,up,◆,1月2～4日運転
のぞみ314,up,◆,12月3・4・10・11・17・18・31日・1月2～5日運転
のぞみ316,up,◆,1月4日運転
のぞみ124,up,◆,12月25・29・30日・1月8日運転
のぞみ220,up,◆,休日運休・但し、12月26・30・31日・1月2・3日は運転
