期間,20221201,20230109
回送983,down,◆,12月5・[11]・14・23日・1月7日運転
回送981,down,◆,12月2日運転
のぞみ121,down,◆,12月28～31日・1月2～4・[7]日運転
のぞみ273,down,◆,12月3・[10]・[17]・28～31日運転
のぞみ123,down,◆,12月29～31日・1月2～5日運転
のぞみ275,down,◆,12月2～4・[5]・[8]・9・10・[12]・[15]・16・17・[19]・[23]・24・26・27日・1月1・7・[8]日運転
のぞみ201,down,◆,休日運休・但し、12月30・31日・1月1日は運転
のぞみ277,down,◆,12月3・10・17・24・[26]・29・30・[31]日・1月[7]日運転
のぞみ279,down,◆,12月[3]・29～31日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,12月28～31日・1月3・4日運転
のぞみ283,down,◆,12月2・3・[8]・9・10・[15]・16・17・[23]・24・26～31日・1月7日運転
のぞみ127,down,◆,12月3・10・17・24・26・28～31日・1月2～5・7・8日運転
のぞみ205,down,◆,休日と12月3・10・17・24・26・28～31日、1月2～5・7・8日は運休・但し、12月4日・1月1日は運転
のぞみ285,down,◆,12月29～31日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,12月[1]・[2]・3・[5]・[6]・[7]・[8]・[9]・10・[12]・[13]・[14]・[15]・[16]・17・[19]・[20]・[21]・[22]・[24]・[26]・[27]・28～31日・1月2・5・[7]日運転
のぞみ289,down,◆,12月3・[10]・[17]・29～31日運転
のぞみ291,down,◆,12月29・30・[31]日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,12月28～31日・1月[5]・7日運転
のぞみ295,down,◆,12月2・3・8～10・15～17・24・[26]・27～31日・1月2・8日運転
のぞみ131,down,◆,1月7日運転
のぞみ131,down,◆,12月2・3・9・10・16・17・24・27～31日・1月1日運転
のぞみ209,down,◆,休日と12月2・3・9・10・16・17・24・27～31日、1月1・7日は運休・但し、12月4・11・18・[25]日は運転
のぞみ297,down,◆,12月3・[8]・10・[15]・[17]・29～31日運転
のぞみ211,down,◆,休日運休・但し、12月30・31日・1月1・2日は運転
のぞみ133,down,◆,12月[31]日運転
のぞみ133,down,◆,12月[24]・26・28～30日・1月2～5・7日運転
のぞみ299,down,◆,12月[3]・[10]日運転
のぞみ301,down,◆,12月[1]・[2]・3・[5]・[6]・[7]・[8]・[9]・[12]・[13]・[14]・[15]・[16]・17・[19]・[20]・[21]・[22]・[23]・[27]・28～31日・1月1日運転
のぞみ303,down,◆,12月29～31日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,12月[3]・[10]・29～31日運転
のぞみ305,down,◆,12月28日運転
のぞみ307,down,◆,12月[1]・2・3・[5]・[6]・[7]・8～10・[12]・[13]・[14]・15～17・[19]・[20]・[21]・[22]・[23]・24・26～31日・1月1・7日運転
のぞみ137,down,◆,12月24・28～30日・1月2・[3]・4日運転
のぞみ137,down,◆,12月27・31日・1月1・7日運転
のぞみ215,down,◆,休日と12月24・27～31日、1月1～4・7日は運休・但し、12月[4]日は運転
のぞみ309,down,◆,12月[17]・29～31日・1月2日運転
のぞみ139,down,◆,12月[24]・[25]・[26]・[27]・[28]・29・30・[31]日・1月[1]・2～5・[7]日運転
のぞみ311,down,◆,12月3日運転
のぞみ313,down,◆,12月[2]・3・[8]・[9]・10・[15]・[16]・17・24・28～31日・1月1・7日運転
のぞみ315,down,◆,12月28～31日運転
のぞみ141,down,◆,12月28～31日・1月2日運転
のぞみ319,down,◆,12月3・10・17・24・26～31日・1月1・2・4・7日運転
のぞみ143,down,◆,12月27日運転
のぞみ143,down,◆,12月28～31日・1月1・3・4日運転
のぞみ221,down,◆,休日と12月27～31日、1月1・3・4日は運休・但し、12月4・11・18日は運転
のぞみ321,down,◆,12月3・10・[17]・24・28～31日・1月7日運転
のぞみ323,down,◆,12月[1]・[6]・[7]・8・[14]・15・[21]・[22]・[27]・28～31日運転
のぞみ223,down,◆,12月2・3・[5]・9・10・[12]・16・17・[19]・23日運転
のぞみ145,down,◆,12月24・[25]・[26]・[27]・[28]・29・30・[31]日・1月[1]・2～5・[7]・[9]日運転
のぞみ325,down,◆,12月[24]・27～31日・1月1・2日運転
のぞみ327,down,◆,12月28～31日・1月1日運転
のぞみ147,down,◆,12月28～31日運転
のぞみ329,down,◆,12月27日運転
のぞみ331,down,◆,12月2～4・[5]・8～11・[12]・15～18・[19]・23・24・26～31日・1月1・[6]・7日運転
のぞみ149,down,◆,12月[27]・28～31日・1月1～5日運転
のぞみ335,down,◆,12月3・10・[17]・26・28～31日・1月1・2日運転
のぞみ337,down,◆,12月[1]・[2]・3・6・[7]・[9]・10・[14]・[16]・17・[21]・[22]・24・28～31日・1月1・2・7日運転
のぞみ151,down,◆,12月[24]・[25]・[26]・[27]・28・[29]・[30]・[31]日・1月[1]・2～5・[9]日運転
のぞみ341,down,◆,12月27～31日・1月3・4日運転
のぞみ343,down,◆,12月24・28～31日・1月[7]日運転
のぞみ153,down,◆,1月2～4日運転
のぞみ153,down,◆,12月29～31日運転
のぞみ345,down,◆,12月28日運転
のぞみ347,down,◆,12月2・3・[8]・9・10・[15]・16・17・[18]・23・24・26～31日・1月1・7日運転
のぞみ155,down,◆,12月[27]・28～31日・1月1・5日運転
のぞみ349,down,◆,1月2・3・[4]日運転
のぞみ351,down,◆,12月28～31日・1月1・3日運転
のぞみ353,down,◆,12月28～31日運転
のぞみ157,down,◆,12月[11]・25～31日・1月[1]・2～5・9日運転
のぞみ355,down,◆,12月3・4・10・[17]・24日・1月[7]日運転
のぞみ357,down,◆,12月28～31日・1月1～4日運転
のぞみ359,down,◆,12月28～31日運転
こだま727,down,☆,N700S車両で運転
のぞみ159,down,◆,12月[29]・[30]日・1月2～4日運転
のぞみ361,down,◆,12月28・31日運転
のぞみ363,down,◆,12月2・3・[8]・9・10・[15]・16・17・23・24・[26]・27～31日・1月1・7日運転
のぞみ161,down,◆,12月4・18・25・28～31日・1月3・4・[5]・9日運転
のぞみ365,down,◆,1月2日運転
のぞみ367,down,◆,12月28～31日・1月1・3・4日運転
のぞみ369,down,◆,12月28～31日運転
のぞみ163,down,◆,12月11・26・28・[29]・[30]・31日・1月1～5・9日運転
のぞみ371,down,◆,12月27日運転
のぞみ373,down,◆,12月28～31日・1月1～3・[4]日運転
のぞみ375,down,◆,12月28～31日・1月[1]・3日運転
のぞみ165,down,◆,12月28～30日・1月2～4日運転
のぞみ377,down,◆,12月31日運転
のぞみ379,down,◆,12月3・4・[8]・9・10・[15]・17・23・26・28～31日・1月1・3・[5]・7日運転
のぞみ167,down,◆,1月9日運転
のぞみ167,down,◆,12月4・9・[18]・25・[27]・29・30日・1月[6]・[8]日運転
のぞみ381,down,◆,12月2・11・16・28・31日・1月2～4日運転
のぞみ383,down,◆,12月28～31日・1月1・3・[4]・9日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,12月28～31日・1月[1]・3・4日運転
のぞみ169,down,◆,12月[2]・[4]・11・[16]・18・26・28・[29]・[30]・[31]日・1月2～5・9日運転
のぞみ387,down,◆,12月[9]・[23]・25・27日運転
のぞみ389,down,◆,12月28～31日・1月1～4日運転
のぞみ391,down,◆,12月28～31日運転
のぞみ171,down,◆,12月29・30日・1月2・3・[4]日運転
のぞみ393,down,◆,12月28・31日運転
のぞみ395,down,◆,12月4・11・18・28～31日・1月2・3日運転
のぞみ173,down,◆,12月9・11日・1月9日運転
のぞみ173,down,◆,12月2・4・16・18・[23]・25・27～30日・1月6・[8]日運転
のぞみ397,down,◆,12月[8]・[15]・26・31日・1月1日運転
のぞみ399,down,◆,12月4・11・[25]・28～31日・1月3・4日運転
のぞみ175,down,◆,12月[4]・[11]・[18]・[27]・[28]・29・30日・1月2～5・9日運転
のぞみ401,down,◆,12月31日運転
のぞみ403,down,◆,12月[2]・[9]・16・23・25・[26]・28～31日・1月1・3・4日運転
のぞみ405,down,◆,12月28～31日・1月3日運転
のぞみ177,down,◆,1月2～4日運転
のぞみ407,down,◆,12月23・[28]・29・30・[31]日運転
のぞみ409,down,◆,12月[4]・[11]・[18]・[25]・28～31日運転
のぞみ179,down,◆,12月2・4・9・11・16・18・23・25・28日・1月6・8・9日運転
のぞみ239,down,◆,土曜と12月2・4・9・11・16・18・23・25・28日、1月6・8・9日は運休
のぞみ411,down,◆,12月2・4・9・11・16・18・28～31日運転
のぞみ181,down,◆,12月27・[29]・[30]日・1月[5]・[9]日運転
のぞみ413,down,◆,12月28・31日・1月3日運転
のぞみ415,down,◆,12月2・4・[8]・9・11・[15]・[16]・18・23・25・[26]・28～31日・1月2～4日運転
のぞみ417,down,◆,12月11・28～31日・1月3日運転
のぞみ183,down,◆,1月2～4日運転
のぞみ419,down,◆,12月28～30日運転
のぞみ421,down,◆,12月[1]・2・4・[6]・[7]・[8]・9・11・[13]・[14]・[15]・16・18・[20]・[21]・[22]・23・25・[26]・28～31日・1月3・[9]日運転
のぞみ185,down,◆,12月2・4・9・11・16・18・23・25・28日・1月6・8・9日運転
のぞみ245,down,◆,土曜と12月2・4・9・11・16・18・23・25・28日、1月6・8・9日は運休
のぞみ423,down,◆,12月2・9・16・[23]・28～30・[31]日運転
こだま801,down,◆,12月4・11・18・25・30・31日・1月1～3・8・9日運転
のぞみ247,down,☆,N700S車両で運転
のぞみ187,down,◆,1月2～4・[5]日運転
のぞみ425,down,◆,12月11・[28]・29・30日運転
のぞみ427,down,◆,12月2・[4]・8・[9]・[11]・15・[16]・[18]・[23]・[25]・27～31日・1月6日運転
のぞみ429,down,◆,12月[2]・4・9・11・16・18・23・28～30日・1月[3]日運転
のぞみ189,down,◆,12月[4]・[9]・[11]・[18]・23・[25]・[28]日・1月2～4・[6]・[9]日運転
のぞみ431,down,◆,12月2・16・29・30日・1月[5]日運転
のぞみ433,down,◆,12月[1]・[2]・[6]・[7]・[8]・9・[13]・[14]・[15]・[20]・[21]・[22]・[26]・[27]・28～30・[31]日・1月3日運転
のぞみ251,down,◆,土曜運休
のぞみ435,down,◆,12月2・9・11・16・18・[23]・28～30日運転
のぞみ437,down,◆,12月28～30日運転
のぞみ439,down,◆,12月2・4・8・9・11・15・16・18・23・25・28～30日・1月[3]・6日運転
のぞみ441,down,◆,12月2・4・[9]・11・[16]・[23]・28～30日運転
のぞみ255,down,☆,N700S車両で運転
のぞみ443,down,◆,12月2・[9]・[16]・[23]・28～30日運転
のぞみ445,down,◆,12月2・4・[8]・9・11・[15]・16・18・23・25・28～30日・1月3・6日運転
のぞみ447,down,◆,12月[2]・28～30日運転
のぞみ449,down,◆,12月[1]・2・4・[6]・[7]・8・9・11・[13]・[14]・15・16・18・[20]・[21]・[22]・23・25・[26]・[27]・28～30・[31]日・1月[2]・3・4・6・9日運転
こだま805,down,◆,休日運休
のぞみ451,down,◆,12月2・9・[11]・16・[23]・28～30日運転
のぞみ453,down,◆,12月28～30日運転
のぞみ455,down,◆,12月2・4・9・11・16・18・23・25・28～30日運転
のぞみ457,down,◆,12月28日運転
のぞみ459,down,◆,12月2・4・9・11・16・18・23・25・28～30日運転
のぞみ461,down,◆,12月[2]・[4]・9・11・[16]・18・[23]・[25]・28～30日運転
ひかり665,down,◆,12月4・11・18・25日・1月2・3・9日運転
のぞみ463,down,◆,12月28日運転
