期間,20240316,20240630
回送981,down,◆,4月1日運転
回送983,down,◆,3月17・27日・4月5・15・25日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ497,down,◆,3月18・25日・4月1・6・8・13・15・20・22・30日・5月4・7・11・13・20・27日・6月1・3・8・10・15・17・22・24・29日運転
のぞみ97,down,◆,3月16・23・30日・4月27・28日・5月3・5・6・18・25日運転
のぞみ1,down,☆,N700S車両で運転
のぞみ101,down,◆,3月23・24・28・30・31日・4月27・28日・5月3・5・6日運転
のぞみ283,down,◆,3月16・18・21～23・25～30日・4月5・6・12・13・18・19・23・27日・5月3・10・11・16～18・20・24・25日・6月7・14・15・21・22・29日運転
ひかり535,down,◆,3月16日～6月30日は運休
ひかり535,down,◆,3月16日～6月30日運転
のぞみ285,down,◆,3月23・30日・4月27日・5月3日運転
のぞみ287,down,◆,3月18～21・30日・4月1～5・10～12・15～19・22～26日・5月1・2・8～10・14・30日・6月5・6・11～14・18～21・26～28日運転
のぞみ103,down,◆,3月16・22～29日・4月6・13・20・27・28日・5月3・4・11・15～18・21～25・28・29・31日・6月1・7・8・15・22・29日運転
のぞみ201,down,◆,休日と3月23・30日・4月19・27・28日・5月3・4・17・24日・6月6・13日は運休・但し、3月20日・4月29日・5月26日は運転
のぞみ105,down,◆,3月23・30日・4月19・27・28日・5月3・4・17・24日・6月6・13日運転
のぞみ289,down,◆,3月22・23・26・27・30日・4月27日・5月3・25日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ291,down,◆,3月21～23・25～27・29・30日・4月6・27日・5月3・17・24・25日・6月14日運転
のぞみ203,down,◆,3月16・23・25～31日・4月13・20・27・28日・5月3・5・6・17・18・22～25・28～30日・6月15・22日は運休
のぞみ107,down,◆,3月16・23・25～31日・4月13・20・27・28日・5月3・5・6・17・18・22～25・28～30日・6月15・22日運転
ひかり671,down,◆,3月16～6月30日は運休
ひかり501,down,◆,3月16～6月30日運転
のぞみ293,down,◆,3月16・18～30日・4月1・4～6・10～13・15～20・22～25・27日・5月2～4・7～11・13～18・20日～6月1・3～8・10・12～15・17～22・29日運転
