期間,20220401,20220508
のぞみ121,down,◆,4月29・30日・5月3日運転
のぞみ271,down,◆,4月2日運転
のぞみ273,down,◆,4月2・29日・5月3日運転
のぞみ123,down,◆,4月29日・5月3日運転
のぞみ275,down,◆,4月1～3・8～10・15～17・22～24・28・30日・5月1・2・4・6・7日運転
のぞみ201,down,◆,休日運休・但し、4月3・10・17・24・29日・5月1・3～5日は運転
のぞみ277,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月3日運転
のぞみ279,down,◆,4月2・9・16・23・29日・5月1・3日運転
こだま703,down,☆,N700S車両で運転
のぞみ125,down,◆,4月29日・5月3日運転
のぞみ281,down,◆,4月30日運転
のぞみ283,down,◆,4月1・2・8・9・15・16・22・23・28・29日・5月1・3日運転
のぞみ127,down,◆,4月2・9・16・23・29・30日・5月1・3～5日運転
のぞみ205,down,◆,休日と4月2・9・16・23・29・30日、5月1・3～5日は運休・但し、4月3日は運転
のぞみ285,down,◆,4月2・29・30日・5月3日運転
ひかり633,down,☆,N700S車両で運転
のぞみ287,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月1・3日運転
のぞみ289,down,◆,4月2・29日・5月3日運転
のぞみ291,down,◆,4月29日・5月3日運転
のぞみ207,down,☆,N700S車両で運転
のぞみ129,down,◆,4月29日・5月3・5日運転
のぞみ295,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月1・3日運転
のぞみ131,down,◆,4月29日・5月3日運転
のぞみ131,down,◆,4月30日・5月1日運転
のぞみ209,down,◆,休日と4月29・30日、5月1・3日は運休・但し、4月3・10・17・24日・5月4・8日は運転
のぞみ297,down,◆,4月2・29・30日・5月3日運転
のぞみ211,down,◆,休日運休・但し、4月3・29日・5月1・3・4日は運転
のぞみ133,down,◆,5月5日運転
のぞみ133,down,◆,4月29日・5月3日運転
のぞみ299,down,◆,4月2日・5月1日運転
のぞみ301,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月1・3日運転
のぞみ303,down,◆,4月29日・5月3日運転
のぞみ213,down,☆,N700S車両で運転
のぞみ135,down,◆,4月29日・5月3日運転
のぞみ307,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月1・3・4日運転
のぞみ137,down,◆,5月3日運転
のぞみ137,down,◆,4月29・30日運転
のぞみ215,down,◆,休日と4月29・30日、5月3日は運休・但し、4月3日・5月1・4日は運転
のぞみ309,down,◆,4月2・29・30日・5月1・3日運転
のぞみ139,down,◆,4月29日・5月3・5日運転
のぞみ313,down,◆,4月1・2・8・9・15・16・22・23・28～30日・5月1・3日運転
のぞみ315,down,◆,4月29日・5月3日運転
のぞみ141,down,◆,4月29日・5月3・5日運転
のぞみ319,down,◆,4月2・28～30日・5月1・3日運転
のぞみ143,down,◆,4月29日・5月3日運転
のぞみ143,down,◆,4月30日運転
のぞみ221,down,◆,休日と4月29・30日、5月3日は運休・但し、4月3・10・17・24日・5月1・4・5・8日は運転
のぞみ321,down,◆,4月1・2・8・9・15・16・22・23・29・30日・5月1・3日運転
のぞみ323,down,◆,4月29日・5月3日運転
のぞみ223,down,◆,4月1～3・8・9・15・16・22・23・28・30日・5月2・4日運転
のぞみ145,down,◆,4月29日・5月1・3・5日運転
のぞみ325,down,◆,4月29日・5月3日運転
のぞみ327,down,◆,4月29・30日・5月3日運転
のぞみ147,down,◆,5月5日運転
のぞみ147,down,◆,4月29日・5月3日運転
のぞみ331,down,◆,4月1～3・8～10・15～17・22～24・28～30日・5月1～4・8日運転
のぞみ149,down,◆,4月29日・5月3日運転
のぞみ335,down,◆,4月2・29・30日・5月3日運転
のぞみ337,down,◆,4月1～3・8・9・15・16・22・23・28～30日・5月2・3日運転
のぞみ151,down,◆,4月29日・5月1・3・5日運転
のぞみ341,down,◆,4月29日・5月3日運転
のぞみ343,down,◆,4月29・30日・5月3・5日運転
のぞみ345,down,◆,4月29日・5月3日運転
のぞみ347,down,◆,4月1～3・8～10・15～17・22～24・28～30日・5月2～5日運転
のぞみ155,down,◆,4月29日・5月1・3日運転
のぞみ351,down,◆,4月29・30日・5月3日運転
のぞみ353,down,◆,4月29日・5月3・5日運転
のぞみ157,down,◆,4月29日・5月1・3・5・8日運転
のぞみ355,down,◆,4月2・3・28・30日・5月2日運転
のぞみ357,down,◆,4月29日・5月3・5日運転
のぞみ359,down,◆,4月29日・5月3日運転
こだま727,down,☆,N700S車両で運転
のぞみ361,down,◆,4月29日運転
のぞみ363,down,◆,4月1～3・8～10・15～17・22～24・28～30日・5月1～4・8日運転
のぞみ161,down,◆,4月29日・5月5日運転
のぞみ367,down,◆,4月29日・5月3日運転
のぞみ369,down,◆,4月29日・5月3・5日運転
のぞみ163,down,◆,4月29日・5月1・5日運転
のぞみ371,down,◆,4月3・28・30日・5月2・3・8日運転
のぞみ373,down,◆,4月29日・5月1・3・5日運転
のぞみ375,down,◆,4月29日・5月3・5日運転
のぞみ165,down,◆,5月5日運転
のぞみ377,down,◆,4月29日運転
のぞみ379,down,◆,4月1・2・8～10・15～17・22～24・28～30日・5月1～3・5・8日運転
のぞみ167,down,◆,4月3日・5月4・8日運転
のぞみ381,down,◆,4月29日・5月1・5日運転
のぞみ383,down,◆,4月28・29日・5月3・5日運転
こだま733,down,☆,N700S車両で運転
のぞみ385,down,◆,4月29日・5月5日運転
のぞみ169,down,◆,4月28日・5月1・2・5日運転
のぞみ387,down,◆,4月1～3・8・10・15・17・22・24・29・30日・5月3・4・8日運転
のぞみ389,down,◆,4月3・29日・5月1・5日運転
のぞみ171,down,◆,5月5日運転
のぞみ395,down,◆,4月29日・5月1・5日運転
のぞみ173,down,◆,5月1日運転
のぞみ173,down,◆,4月3・10・17・24日・5月4・5・8日運転
のぞみ397,down,◆,4月1・2・8・15・22・28～30日・5月2・3日運転
のぞみ399,down,◆,4月3・10・17・24・29日・5月5・8日運転
のぞみ175,down,◆,4月28日・5月1・2・5日運転
のぞみ403,down,◆,4月1・3・8・10・15・17・22・24・28・29日・5月1・5・8日運転
のぞみ405,down,◆,5月5日運転
のぞみ177,down,◆,5月5日運転
のぞみ409,down,◆,4月28日・5月5日運転
のぞみ179,down,◆,4月1・3・8・10・15・17・22・24・28日・5月1・2・4・5・8日運転
