期間,20230901,20230930
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,9月2・4・9・11・16・19・23・25・30日運転
のぞみ101,down,◆,9月16日運転
のぞみ283,down,◆,9月16日運転
ひかり535,down,◆,9月1～30日は運休
ひかり535,down,◆,9月1～30日運転
のぞみ103,down,◆,9月9・15～18・23日運転
のぞみ285,down,◆,9月7・8・12～14・19・22・25～27・30日運転
のぞみ201,down,◆,休日と9月15・16・23日は運休・但し、9月17日は運転
のぞみ105,down,◆,9月15・16・23日運転
のぞみ287,down,◆,9月16日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,9月16日運転
のぞみ203,down,◆,9月16日は運休
のぞみ107,down,◆,9月16日運転
ひかり671,down,◆,9月1～30日は運休
ひかり501,down,◆,9月1～30日運転
のぞみ291,down,◆,9月1・2・4・5・7～9・11・12・14～16・22・23・25・26・28～30日運転
のぞみ293,down,◆,9月6～21・23～27日運転
のぞみ205,down,◆,休日と9月8・9・15～17・22・23日は運休
のぞみ109,down,◆,9月8・23日運転
のぞみ109,down,◆,9月9・15～17・22日運転
のぞみ295,down,◆,9月16日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,9月16・23日は運休
のぞみ111,down,◆,9月16・23日運転
のぞみ113,down,◆,9月16日運転
のぞみ299,down,◆,9月16日運転
のぞみ301,down,◆,9月4・6・[8]・[12]・13・[14]・16・19・[20]・22・23・30日運転
のぞみ303,down,◆,9月1～17・19～30日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,9月2～4・[5]・6～17・19・20・22～28・30日運転
のぞみ209,down,◆,休日と9月2・9・15～18・23・30日は運休
のぞみ115,down,◆,9月17日運転
のぞみ115,down,◆,9月2・9・15・16・18・23・30日運転
のぞみ307,down,◆,9月9・12・14・16・23・30日運転
のぞみ211,down,◆,休日と9月15・16・23日は運休・但し、9月[17]日は運転
のぞみ117,down,◆,9月15・16・23日運転
のぞみ309,down,◆,9月[23]日運転
のぞみ119,down,◆,9月[8]・[9]・16・[22]日運転
のぞみ311,down,◆,9月16日運転
のぞみ313,down,◆,9月[2]・[6]・[7]・[11]・[13]・[15]・16・23・[30]日運転
のぞみ213,down,◆,9月15・16・18日は運休
のぞみ121,down,◆,9月15・16・18日運転
のぞみ315,down,◆,9月1～17・19・20・[21]・22・23・25～30日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,9月[2]・[4]・9・13・[15]・16・[19]・[22]・23・24・30日運転
のぞみ215,down,◆,休日と9月9・16・23日は運休・但し、9月[17]日は運転
のぞみ123,down,◆,9月9・16・23日運転
のぞみ319,down,◆,9月16・23日運転
のぞみ217,down,◆,9月16日は運休
のぞみ125,down,◆,9月16日運転
のぞみ321,down,◆,9月[9]・16・[23]・[30]日運転
のぞみ323,down,◆,9月16日運転
のぞみ325,down,◆,9月2・6～9・11・12・14～16・22・23・25・26・30日運転
のぞみ219,down,◆,9月15・16・18・23日は運休
のぞみ129,down,◆,9月15・16・18・23日運転
のぞみ327,down,◆,9月2・7～9・11・14～16・22・23・25・26・30日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,9月[2]・16・23日運転
のぞみ221,down,◆,休日と9月16・18日は運休・但し、9月[17]日は運転
のぞみ131,down,◆,9月16・18日運転
のぞみ331,down,◆,9月16日運転
