期間,20230508,20230630
のぞみ165,down,◆,5月[28]日・6月18日運転
のぞみ401,down,◆,5月[19]日運転
のぞみ233,down,◆,5月14・21日、6月4・11・25日は運休
のぞみ169,down,◆,5月14・21日・6月4・11・25日運転
のぞみ403,down,◆,5月12・14・19・21・26・28日・6月[2]・4・9・11・16・18・23・25日運転
のぞみ405,down,◆,5月[12]・14・19・[21]・25・28日・6月[4]・[9]・11・16・18・23・25日運転
のぞみ407,down,◆,5月[10]・11・15・[16]・17・18・[20]・22～25・27・29～31日・6月[6]・7・[8]・12・[14]・15・[20]・[21]・[22]・[27]・[28]・[29]・[30]日運転
のぞみ171,down,◆,5月[28]日運転
のぞみ171,down,◆,5月[12]・[14]・[19]・[21]・[26]日・6月2・9・[11]・[16]・[18]・[23]・[25]日運転
のぞみ409,down,◆,5月21・26・28日・6月4日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ235,down,◆,5月28日、6月4日は運休
のぞみ173,down,◆,5月28日・6月4日運転
のぞみ237,down,◆,5月12・14・19・21・26・28日、6月2・4・9・11・16・18・23・25・30日は運休
のぞみ177,down,◆,5月12・14・19・21・26・28日・6月2・4・9・11・16・18・23・25・30日運転
のぞみ417,down,◆,5月[12]・14・19・21・26・28日・6月2・4・9・[11]・[16]・[18]・[23]・[25]日運転
のぞみ47,down,☆,N700S車両で運転
のぞみ419,down,◆,5月[19]・[21]・[26]・[28]日・6月[4]・[9]・[11]・[16]・[23]日運転
のぞみ239,down,◆,土曜と5月14・19・21・26・28日、6月11・18・25日は運休
のぞみ179,down,◆,5月14・19・21・26・28日運転
のぞみ179,down,◆,6月11・18・25日運転
ひかり651,down,☆,N700S車両で運転
のぞみ241,down,◆,6月4日は運休
のぞみ181,down,◆,6月4日運転
のぞみ425,down,◆,5月12・14・[17]・18・19・[20]・21・25・26・[27]・28日・6月[2]・4・[7]・[8]・[9]・11・[15]・16・18・23・25・[30]日運転
のぞみ427,down,◆,6月[22]日運転
のぞみ243,down,◆,5月19・21・26・28日、6月2・4・9・11・16・18・23・25日は運休
のぞみ185,down,◆,5月19・21・26・28日・6月2・4・9・11・16・18・23・25日運転
のぞみ429,down,◆,5月12・14・[17]・18・19・21・[24]・25・26・28日・6月2・4・[6]・[7]・8・9・11・[15]・16・18・[22]・23・[25]・[30]日運転
のぞみ431,down,◆,5月19・[21]・26・[28]日・6月[4]・[9]・[11]・[16]・[23]日運転
のぞみ245,down,◆,土曜と5月12・14・19・21・26・28日、6月9・16・23・30日は運休・但し、5月[27]日は運転
のぞみ187,down,◆,5月19・26・28日・6月16・23日運転
のぞみ187,down,◆,5月12・14・21日・6月9・30日運転
のぞみ433,down,◆,5月[12]・[19]・[26]日・6月[2]・[9]・[16]・23日運転
のぞみ55,down,☆,N700S車両で運転
こだま801,down,◆,5月14・21・28日・6月4・11・18・25日運転
のぞみ191,down,◆,6月[16]・[18]・25日運転
のぞみ439,down,◆,5月12・14・19・21・[25]・26・28日・6月2・4・9・[11]・16・18・[23]・30日運転
のぞみ249,down,◆,5月19・21・26・28日、6月9・11・16・18・23日は運休
のぞみ193,down,◆,5月19・21・26・28日・6月9・11・16・18・23日運転
のぞみ441,down,◆,5月12・14・[17]・18・19・21・[24]・25・26・28日・6月2・4・[7]・8・9・11・15・16・18・22・23・25・30日運転
のぞみ443,down,◆,5月[12]・19・[21]・26日・6月[2]・[4]・9・[11]・16・[18]・23・[30]日運転
のぞみ251,down,◆,土曜運休
のぞみ445,down,◆,5月[12]・[19]・26日・6月[9]・[16]日運転
のぞみ197,down,◆,5月[28]日・6月[16]・[23]日運転
のぞみ447,down,◆,5月[19]・[26]日・6月[9]日運転
のぞみ449,down,◆,5月12・14・19・21・[25]・26・28日・6月2・4・[8]・9・[11]・16・[18]・[22]・23・[25]・[30]日運転
のぞみ59,down,☆,N700S車両で運転
のぞみ453,down,◆,5月[12]・19・[21]・26・[28]日・6月[2]・[4]・[9]・[11]・[16]・[18]・[23]・[25]日運転
のぞみ455,down,◆,5月12・[14]・19・21・26・28日・6月2・[4]・[9]・[11]・16・[18]・[23]・[30]日運転
のぞみ457,down,◆,5月[12]・[19]・[26]日運転
のぞみ459,down,◆,5月10～12・14・[15]・[16]・17～19・21・[22]・23～26・28・29・[30]・[31]日・6月1・2・4・[7]・8・9・11・15・16・18・22・23・25・30日運転
ひかり661,down,☆,N700S車両で運転
こだま805,down,◆,休日運休
のぞみ461,down,◆,5月[19]・[26]・[28]日・6月9・[16]・23日運転
のぞみ257,down,☆,N700S車両で運転
のぞみ465,down,◆,5月12・14・18・19・21・25・26・28日・6月2・4・[8]・9・11・[15]・16・18・23・25・30日運転
のぞみ467,down,◆,5月12・14・19・21・26・28日・6月2・4・9・11・16・18・23・[25]・[30]日運転
ひかり663,down,☆,N700S車両で運転
のぞみ469,down,◆,5月[14]・[18]・[19]・21・26・[28]日・6月[4]・[9]・[11]・[16]・[18]・[23]日運転
ひかり665,down,◆,5月12・14・19・21・26・28日・6月2・4・9・11・16・18・23・25・30日運転
のぞみ473,down,◆,5月[28]日運転
のぞみ475,down,◆,5月12・14・[16]・[17]・18・19・21・[24]・25・26・28日・6月2・4・[7]・[8]・9・11・[15]・16・18・22・23・25・30日運転
のぞみ477,down,◆,5月12・[14]・[19]・21・[26]・28日・6月[2]・[4]・[9]・11・[16]・[18]・[23]・25日運転
こだま807,down,☆,N700S車両で運転
のぞみ479,down,◆,5月[21]・[28]日・6月[11]・[25]日運転
のぞみ481,down,◆,5月[12]・14・19・21・26・[27]・28日・6月[4]・11・18・25日運転
のぞみ483,down,◆,5月[10]・11～14・16～28・30日・6月3・4・6・[7]・[8]・9～11・[15]・[16]・[17]・18・[20]・[21]・22・[23]・24・25・[27]・[28]・[29]・30日運転
ひかり667,down,☆,N700S車両で運転
のぞみ499,down,◆,5月12・14・19・21・26・28日・6月2・4・9・11・16・18・23・25・30日運転
ひかり669,down,☆,N700S車両で運転
こだま802,up,◆☆,土曜・休日運休　N700S車両で運転
こだま804,up,☆,N700S車両で運転
こだま806,up,◆☆,土曜・休日運休　N700S車両で運転
こだま810,up,◆,土曜・休日運休
のぞみ498,up,◆,5月8・13・15・20・22・27・29日・6月3・5・10・12・17・19・24・26日運転
こだま816,up,◆,土曜・休日運休
こだま818,up,◆☆,土曜・休日運休　N700S車両で運転
のぞみ204,up,◆,休日運休
のぞみ282,up,◆,5月[19]・[20]・[27]日・6月[7]日運転
のぞみ286,up,◆,5月[13]・[17]・[19]・[20]・[25]・[26]・[27]日・6月[7]日運転
のぞみ288,up,◆,5月[20]・[23]・[27]日・6月[8]・[16]・[24]日運転
のぞみ290,up,◆,5月8・[10]・[11]・12・13・15～31日・6月1～3・5・6・[7]・[8]・9・10・12～14・[15]・16・17・[18]・19・[20]・[21]・[22]・23・24・[25]・26～29・[30]日運転
のぞみ208,up,◆,休日運休
ひかり638,up,☆,N700S車両で運転
のぞみ294,up,◆,5月9～11・[12]・13・15～20・22～27・29日・6月[3]・[6]・7・8・[9]・[10]・15・17・20～22・24日運転
のぞみ74,up,☆,N700S車両で運転
