期間,20230701,20230731
回送983,down,◆,7月7・17・28日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,7月1・3・8・10・15・18・22・24・29・31日運転
のぞみ101,down,◆,7月15日運転
のぞみ283,down,◆,7月15日運転
ひかり535,down,◆,7月8～31日は運休
ひかり535,down,◆,7月8～31日運転
のぞみ103,down,◆,7月15・29日運転
のぞみ285,down,◆,7月1・7・8・13・14・20～22・26～28日運転
のぞみ201,down,◆,休日と7月15日は運休・但し、7月16日は運転
のぞみ105,down,◆,7月15日運転
のぞみ287,down,◆,7月15日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,7月15日運転
のぞみ203,down,◆,7月15日は運休
のぞみ107,down,◆,7月15日運転
ひかり671,down,◆,7月8～31日は運休
ひかり501,down,◆,7月8～31日運転
のぞみ291,down,◆,7月1・3・5～8・10～15・18～22・24～29・31日運転
のぞみ293,down,◆,7月15日運転
のぞみ205,down,◆,休日と7月1・8・14・15・21・22・28・29日は運休・但し、7月16日は運転
のぞみ109,down,◆,7月21日運転
のぞみ109,down,◆,7月1・8・14・15・22・28・29日運転
のぞみ295,down,◆,7月15日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,7月15日は運休
のぞみ111,down,◆,7月15日運転
のぞみ113,down,◆,7月15日運転
のぞみ299,down,◆,7月13・15日運転
のぞみ301,down,◆,7月1・8・15・20・[21]・22・26～29日運転
のぞみ303,down,◆,7月1・3～8・10～15・18～22・24～29・31日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,7月1・8・[10]・[11]・[12]・[13]・[14]・15・[18]・[19]・[20]・22・[24]・[25]・[26]・[27]・[28]・29日運転
のぞみ209,down,◆,休日と7月1・8・14・15・21・22・28・29日は運休・但し、7月2・9・16・23・30日は運転
のぞみ115,down,◆,7月1・8・14・15・21・22・28・29日運転
のぞみ307,down,◆,7月15日運転
のぞみ211,down,◆,休日と7月15日は運休・但し、7月9・16・23・30日は運転
のぞみ117,down,◆,7月15日運転
のぞみ309,down,◆,7月[8]・15・[22]・[29]日運転
のぞみ311,down,◆,7月1・6～8・13～15・20～22・26～29・31日運転
のぞみ313,down,◆,7月15・[16]日運転
のぞみ213,down,◆,7月14・15・17・28・29日は運休
のぞみ121,down,◆,7月14・15・17・28・29日運転
のぞみ315,down,◆,7月1・3～8・10～15・18～22・24～31日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,7月1・8・[14]・15・22・29日運転
のぞみ215,down,◆,休日と7月15日は運休・但し、7月9・16・23・30日は運転
のぞみ123,down,◆,7月15日運転
のぞみ319,down,◆,7月15日運転
のぞみ217,down,◆,7月15日は運休
のぞみ125,down,◆,7月15日運転
のぞみ321,down,◆,7月[8]・15・[22]・[29]日運転
のぞみ323,down,◆,7月15日運転
のぞみ325,down,◆,7月1・6～8・13～15・[16]・20～22・26～29・31日運転
のぞみ219,down,◆,7月17・28・29日は運休
のぞみ129,down,◆,7月17・28・29日運転
のぞみ327,down,◆,7月1・8・14・15・21・22・26～31日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,7月15・29日運転
のぞみ221,down,◆,休日と7月15日は運休・但し、7月9・16・23・30日は運転
のぞみ131,down,◆,7月15日運転
のぞみ331,down,◆,7月15日運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,7月1・3～8・10～14・17～22・24～31日運転
のぞみ133,down,◆,7月15日運転
のぞみ333,down,◆,7月15日運転
のぞみ335,down,◆,7月15日運転
のぞみ337,down,◆,7月[14]・15・22・29日運転
のぞみ225,down,◆,7月17日は運休
のぞみ137,down,◆,7月17日運転
のぞみ339,down,◆,7月15・22・29・30日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,7月1・8・14・15・17・21・22・24・26～31日運転
のぞみ139,down,◆,7月15日運転
のぞみ345,down,◆,7月15日運転
のぞみ347,down,◆,7月1・3・5～16・18～31日運転
のぞみ141,down,◆,7月17日運転
のぞみ349,down,◆,7月15日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ351,down,◆,7月15日運転
のぞみ353,down,◆,7月15・29日運転
のぞみ227,down,◆,7月15・30日は運休
のぞみ145,down,◆,7月15・30日運転
のぞみ355,down,◆,7月15・29日運転
のぞみ357,down,◆,7月15日運転
のぞみ359,down,◆,7月15・[16]日運転
のぞみ361,down,◆,7月14・15・17・21・22・28～30日運転
こだま725,down,☆,N700S車両で運転
のぞみ363,down,◆,7月1・7～9・14・15・17・20～24・26～31日運転
のぞみ365,down,◆,7月[15]日運転
のぞみ369,down,◆,7月15日運転
のぞみ229,down,◆,7月30日は運休
のぞみ153,down,◆,7月30日運転
のぞみ371,down,◆,7月14・15・17日運転
のぞみ35,down,☆,N700S車両で運転
のぞみ375,down,◆,7月2・7～9・14・15・[16]・20～24・26～31日運転
のぞみ155,down,◆,7月17日運転
こだま729,down,☆,N700S車両で運転
のぞみ379,down,◆,7月14・15・21・28～30日運転
のぞみ157,down,◆,7月17日運転
のぞみ73,down,☆,N700S車両で運転
のぞみ385,down,◆,7月17日運転
のぞみ231,down,◆,7月9・14・23・30日は運休
のぞみ161,down,◆,7月9・14・23・30日運転
のぞみ387,down,◆,7月14・17日運転
のぞみ389,down,◆,7月17日運転
のぞみ391,down,◆,7月2・3・5～10・12～16・18～31日運転
のぞみ163,down,◆,7月17日運転
のぞみ393,down,◆,7月17日運転
のぞみ395,down,◆,7月7・9・15・21・28日運転
のぞみ165,down,◆,7月2・14・17・23・30日運転
のぞみ397,down,◆,7月17日運転
のぞみ401,down,◆,7月17日運転
のぞみ233,down,◆,7月9・14・16・23・30日は運休
のぞみ169,down,◆,7月14・23・30日運転
のぞみ169,down,◆,7月9・16日運転
のぞみ403,down,◆,7月2・7・9・14・17・21・23・28・30日運転
のぞみ405,down,◆,7月17日運転
のぞみ407,down,◆,7月2・6・7・9・10・12～16・19～21・23～27・30日運転
のぞみ171,down,◆,7月17・28日運転
のぞみ409,down,◆,7月17日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ235,down,◆,7月2・9・14・17・23・30日は運休
のぞみ173,down,◆,7月2・9・14・17・23・30日運転
のぞみ411,down,◆,7月17日運転
のぞみ415,down,◆,7月[9]・14・17・[23]日運転
のぞみ237,down,◆,7月7・14・16・17・21・23・28・30日は運休
のぞみ177,down,◆,7月7・14・16・17・21・23・28・30日運転
のぞみ417,down,◆,7月7・9・14・17・21・[23]・28日運転
