期間,20230318,20230331
回送983,down,◆,3月7・16・27日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,3月18・22・25・27日運転
のぞみ101,down,◆,3月[18]日運転
のぞみ283,down,◆,3月18・[19]・25・[27]・28・[29]日運転
ひかり535,down,◆,3月18～31日は運休
ひかり535,down,◆,3月18～31日運転
のぞみ103,down,◆,3月18・[24]・[25]・[31]日運転
のぞみ285,down,◆,3月19・27～29日運転
のぞみ105,down,◆,3月18・25・30日運転
のぞみ201,down,◆,休日と3月18・25・30日は運休・但し、3月19・21・26日は運転
のぞみ287,down,◆,3月18・[25]日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ289,down,◆,3月18・[25]日運転
のぞみ203,down,◆,3月18・25日は運休
のぞみ107,down,◆,3月18・25日運転
ひかり671,down,◆,3月18～31日は運休
ひかり501,down,◆,3月18～31日運転
のぞみ291,down,◆,3月18・19・22・24～31日運転
のぞみ293,down,◆,3月18・[22]・[24]・25・27・[28]・29日運転
のぞみ109,down,◆,3月18・19・24～29・31日運転
のぞみ205,down,◆,休日と3月18・19・24～29・31日は運休・但し、3月21日は運転
のぞみ295,down,◆,3月18・[25]・[29]日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ207,down,◆,3月18日は運休
のぞみ111,down,◆,3月18日運転
のぞみ113,down,◆,3月[18]・[25]日運転
のぞみ299,down,◆,3月18・[25]・[27]・[28]・[29]日運転
のぞみ301,down,◆,3月18・19・24・25・27・28・[31]日運転
のぞみ303,down,◆,3月18・19・[20]・22・[23]・24～31日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,3月18・[19]・[22]・[24]・25・27・28・[29]日運転
のぞみ115,down,◆,3月18・19・24～31日運転
のぞみ209,down,◆,休日と3月18・19・24～31日は運休・但し、3月21日は運転
のぞみ307,down,◆,3月18・25・[27]・[28]・[29]日運転
のぞみ117,down,◆,3月18日運転
のぞみ211,down,◆,休日と3月18日は運休・但し、3月19・21・26日は運転
のぞみ119,down,◆,3月[18]・[25]日運転
のぞみ309,down,◆,3月[24]・[27]・[28]日運転
のぞみ311,down,◆,3月18・19・22・24～30・[31]日運転
のぞみ313,down,◆,3月18・19・21・25・26日運転
のぞみ213,down,◆,3月18・24～26日は運休
のぞみ121,down,◆,3月18・24～26日運転
のぞみ315,down,◆,3月18・19・[20]・[21]・22・[23]・24～31日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,3月18・19・[24]・25・[26]・27・28・[29]日運転
のぞみ123,down,◆,3月18・21日運転
のぞみ215,down,◆,休日と3月18・21日は運休・但し、3月19・26日は運転
のぞみ319,down,◆,3月18・25・[27]・[28]・[29]日運転
のぞみ127,down,◆,3月[18]・[25]日運転
のぞみ323,down,◆,3月18・25日運転
のぞみ325,down,◆,3月18・19・[22]・24～30・[31]日運転
のぞみ219,down,◆,3月18・24～26日は運休
のぞみ129,down,◆,3月18・24～26日運転
のぞみ327,down,◆,3月18・19・24～31日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,3月18・25・[27]日運転
のぞみ131,down,◆,3月18日運転
のぞみ221,down,◆,休日と3月18日は運休・但し、3月19・21・26日は運転
のぞみ331,down,◆,3月18・[25]日運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,3月18～20・22～31日運転
のぞみ133,down,◆,3月[21]日運転
のぞみ333,down,◆,3月18・[25]日運転
のぞみ335,down,◆,3月18・[25]日運転
のぞみ337,down,◆,3月18・[24]・25・27～30日運転
のぞみ225,down,◆,3月18・26日は運休
のぞみ137,down,◆,3月18・26日運転
のぞみ339,down,◆,3月18・[24]・25・27・28・[29]・30・[31]日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,3月18・19・[21]・24～31日運転
のぞみ139,down,◆,3月[18]・[25]日運転
のぞみ345,down,◆,3月18日運転
のぞみ347,down,◆,3月18～21・[22]・23～31日運転
のぞみ349,down,◆,3月18日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ353,down,◆,3月18・25日運転
のぞみ355,down,◆,3月18・25・[27]・30日運転
のぞみ147,down,◆,3月[25]日運転
のぞみ147,down,◆,3月[18]・[21]日運転
のぞみ361,down,◆,3月18・24～30・[31]日運転
こだま725,down,☆,N700S車両で運転
のぞみ363,down,◆,3月18・19・21・24～31日運転
のぞみ369,down,◆,3月18日運転
のぞみ229,down,◆,3月19・21・26日は運休
のぞみ153,down,◆,3月19・21・26日運転
のぞみ371,down,◆,3月21・24・[26]・30日運転
のぞみ35,down,☆,N700S車両で運転
のぞみ155,down,◆,3月[21]・[24]・31日運転
のぞみ375,down,◆,3月18・19・25～30日運転
こだま729,down,☆,N700S車両で運転
のぞみ157,down,◆,3月[21]日運転
のぞみ379,down,◆,3月18・[19]・24～30・[31]日運転
のぞみ73,down,☆,N700S車両で運転
のぞみ385,down,◆,3月18日運転
のぞみ231,down,◆,3月19・21・26日は運休
のぞみ161,down,◆,3月19・21・26日運転
のぞみ387,down,◆,3月18・19・21・24・26・[27]・[29]・30日運転
のぞみ389,down,◆,3月[23]日運転
のぞみ163,down,◆,3月[19]・[21]・[26]日運転
のぞみ163,down,◆,3月[24]・[31]日運転
のぞみ391,down,◆,3月18・20・25・27～30日運転
のぞみ395,down,◆,3月18・19・21・24～31日運転
のぞみ401,down,◆,3月21・24・26日運転
のぞみ233,down,◆,3月19・21・26日は運休
のぞみ169,down,◆,3月19・21・26日運転
のぞみ403,down,◆,3月[18]・19・21・24・26～31日運転
のぞみ405,down,◆,3月[21]・26日運転
のぞみ171,down,◆,3月[19]・[21]・[24]・[26]日運転
のぞみ171,down,◆,3月[27]・[28]・[29]・[30]・[31]日運転
のぞみ407,down,◆,3月18・25日運転
のぞみ45,down,☆,N700S車両で運転
のぞみ415,down,◆,3月19・21・24・26・30日運転
のぞみ237,down,◆,3月19・21・24・26～31日は運休
のぞみ177,down,◆,3月19・21・24・26～31日運転
のぞみ417,down,◆,3月19・[21]・[24]・26・[29]・[30]・[31]日運転
のぞみ47,down,☆,N700S車両で運転
のぞみ419,down,◆,3月[19]・[21]・[24]・[26]日運転
のぞみ179,down,◆,3月19・21・26日運転
のぞみ239,down,◆,土曜と3月19・21・26日は運休・但し、3月18・[25]日は運転
ひかり651,down,☆,N700S車両で運転
のぞみ241,down,◆,3月19日は運休
のぞみ181,down,◆,3月19日運転
のぞみ425,down,◆,3月19・21・24・26～31日運転
のぞみ243,down,◆,3月24・26日は運休
のぞみ185,down,◆,3月24・26日運転
のぞみ429,down,◆,3月19・21・[23]・24・26～31日運転
のぞみ431,down,◆,3月19・[21]・[24]・[26]・[31]日運転
のぞみ187,down,◆,3月19・24・26・31日運転
のぞみ187,down,◆,3月21日運転
